날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-05-17_1549,저티어,탱커,강건한 자,도미나,53.1,7.7,1.844,S
2026-05-17_1549,저티어,탱커,개시자,둠피스트,51.5,9.1,1.314,A
2026-05-17_1549,저티어,탱커,강건한 자,라인하르트,51.8,7.0,1.269,A
2026-05-17_1549,저티어,탱커,투사,마우가,50.1,13.8,1.122,B
2026-05-17_1549,저티어,탱커,강건한 자,라마트라,50.8,7.8,0.932,B
2026-05-17_1549,저티어,탱커,개시자,레킹볼,49.3,3.0,-0.045,C
2026-05-17_1549,저티어,탱커,개시자,D.VA,45.6,7.3,-1.187,C
2026-05-17_1549,저티어,탱커,투사,로드호그,44.9,5.5,-1.609,D
2026-05-17_1549,저티어,딜러,측면 공격가,리퍼,54.1,11.5,2.459,S
2026-05-17_1549,저티어,딜러,전문가,메이,53.1,4.9,1.589,A
2026-05-17_1549,저티어,딜러,측면 공격가,겐지,51.0,13.2,1.341,B
2026-05-17_1549,저티어,딜러,전문가,바스티온,48.4,8.7,-0.02,C
2026-05-17_1549,저티어,딜러,측면 공격가,벤데타,48.9,3.8,-0.169,D
2026-05-17_1549,저티어,힐러,생존왕,미즈키,51.8,11.5,1.485,S
2026-05-17_1549,저티어,힐러,의무관,모이라,50.0,11.9,0.792,A
2026-05-17_1549,저티어,힐러,의무관,라이프위버,50.4,9.0,0.759,B
2026-05-17_1549,저티어,힐러,전술가,루시우,49.4,6.2,0.173,B
2026-05-17_1549,저티어,힐러,의무관,메르시,47.4,9.2,-0.428,C
2026-05-17_1549,저티어,힐러,전술가,바티스트,47.7,6.3,-0.501,D
2026-05-17_1549,중티어,탱커,강건한 자,도미나,53.1,7.7,1.844,S
2026-05-17_1549,중티어,탱커,개시자,둠피스트,51.5,9.1,1.314,A
2026-05-17_1549,중티어,탱커,강건한 자,라인하르트,51.8,7.0,1.269,A
2026-05-17_1549,중티어,탱커,투사,마우가,50.1,13.8,1.122,B
2026-05-17_1549,중티어,탱커,강건한 자,라마트라,50.8,7.8,0.932,B
2026-05-17_1549,중티어,탱커,개시자,레킹볼,49.3,3.0,-0.045,C
2026-05-17_1549,중티어,탱커,개시자,D.VA,45.6,7.3,-1.187,C
2026-05-17_1549,중티어,탱커,투사,로드호그,44.9,5.5,-1.609,D
2026-05-17_1549,중티어,딜러,측면 공격가,리퍼,54.1,11.5,2.459,S
2026-05-17_1549,중티어,딜러,전문가,메이,53.1,4.9,1.589,A
2026-05-17_1549,중티어,딜러,측면 공격가,겐지,51.0,13.2,1.341,B
2026-05-17_1549,중티어,딜러,전문가,바스티온,48.4,8.7,-0.02,C
2026-05-17_1549,중티어,딜러,측면 공격가,벤데타,48.9,3.8,-0.169,D
2026-05-17_1549,중티어,힐러,생존왕,미즈키,51.8,11.5,1.485,S
2026-05-17_1549,중티어,힐러,의무관,모이라,50.0,11.9,0.792,A
2026-05-17_1549,중티어,힐러,의무관,라이프위버,50.4,9.0,0.759,B
2026-05-17_1549,중티어,힐러,전술가,루시우,49.4,6.2,0.173,B
2026-05-17_1549,중티어,힐러,의무관,메르시,47.4,9.2,-0.428,C
2026-05-17_1549,중티어,힐러,전술가,바티스트,47.7,6.3,-0.501,D
2026-05-17_1549,고티어,탱커,강건한 자,도미나,53.1,7.7,1.844,S
2026-05-17_1549,고티어,탱커,개시자,둠피스트,51.5,9.1,1.314,A
2026-05-17_1549,고티어,탱커,강건한 자,라인하르트,51.8,7.0,1.269,A
2026-05-17_1549,고티어,탱커,투사,마우가,50.1,13.8,1.122,B
2026-05-17_1549,고티어,탱커,강건한 자,라마트라,50.8,7.8,0.932,B
2026-05-17_1549,고티어,탱커,개시자,레킹볼,49.3,3.0,-0.045,C
2026-05-17_1549,고티어,탱커,개시자,D.VA,45.6,7.3,-1.187,C
2026-05-17_1549,고티어,탱커,투사,로드호그,44.9,5.5,-1.609,D
2026-05-17_1549,고티어,딜러,측면 공격가,리퍼,54.1,11.5,2.459,S
2026-05-17_1549,고티어,딜러,전문가,메이,53.1,4.9,1.589,A
2026-05-17_1549,고티어,딜러,측면 공격가,겐지,51.0,13.2,1.341,B
2026-05-17_1549,고티어,딜러,전문가,바스티온,48.4,8.7,-0.02,C
2026-05-17_1549,고티어,딜러,측면 공격가,벤데타,48.9,3.8,-0.169,D
2026-05-17_1549,고티어,힐러,생존왕,미즈키,51.8,11.5,1.485,S
2026-05-17_1549,고티어,힐러,의무관,모이라,50.0,11.9,0.792,A
2026-05-17_1549,고티어,힐러,의무관,라이프위버,50.4,9.0,0.759,B
2026-05-17_1549,고티어,힐러,전술가,루시우,49.4,6.2,0.173,B
2026-05-17_1549,고티어,힐러,의무관,메르시,47.4,9.2,-0.428,C
2026-05-17_1549,고티어,힐러,전술가,바티스트,47.7,6.3,-0.501,D
