날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-03-31_0502,저티어,탱커,강건한 자,도미나,52.5,11.4,1.907,S
2026-03-31_0502,저티어,탱커,강건한 자,라인하르트,52.0,7.8,1.421,A
2026-03-31_0502,저티어,탱커,개시자,둠피스트,49.9,9.3,0.7,A
2026-03-31_0502,저티어,탱커,투사,마우가,50.1,4.9,0.43,B
2026-03-31_0502,저티어,탱커,개시자,레킹볼,49.9,3.3,0.223,B
2026-03-31_0502,저티어,탱커,투사,로드호그,48.0,8.6,-0.115,C
2026-03-31_0502,저티어,탱커,강건한 자,라마트라,48.5,6.0,-0.122,C
2026-03-31_0502,저티어,탱커,개시자,D.VA,47.0,9.0,-0.484,D
2026-03-31_0502,저티어,딜러,전문가,메이,54.7,7.1,2.318,S
2026-03-31_0502,저티어,딜러,측면 공격가,리퍼,53.1,10.2,1.87,A
2026-03-31_0502,저티어,딜러,측면 공격가,벤데타,51.6,10.2,1.27,B
2026-03-31_0502,저티어,딜러,측면 공격가,겐지,50.1,11.1,0.725,C
2026-03-31_0502,저티어,딜러,전문가,바스티온,48.8,10.0,0.137,D
2026-03-31_0502,저티어,힐러,생존왕,미즈키,53.7,20.3,2.62,S
2026-03-31_0502,저티어,힐러,전술가,루시우,51.4,6.8,0.942,A
2026-03-31_0502,저티어,힐러,의무관,모이라,50.1,15.1,0.888,B
2026-03-31_0502,저티어,힐러,의무관,메르시,47.4,9.3,-0.518,B
2026-03-31_0502,저티어,힐러,의무관,라이프위버,47.5,6.3,-0.646,C
2026-03-31_0502,저티어,힐러,전술가,바티스트,46.2,6.3,-1.166,D
2026-03-31_0502,중티어,탱커,강건한 자,도미나,52.5,11.4,1.907,S
2026-03-31_0502,중티어,탱커,강건한 자,라인하르트,52.0,7.8,1.421,A
2026-03-31_0502,중티어,탱커,개시자,둠피스트,49.9,9.3,0.7,A
2026-03-31_0502,중티어,탱커,투사,마우가,50.1,4.9,0.43,B
2026-03-31_0502,중티어,탱커,개시자,레킹볼,49.9,3.3,0.223,B
2026-03-31_0502,중티어,탱커,투사,로드호그,48.0,8.6,-0.115,C
2026-03-31_0502,중티어,탱커,강건한 자,라마트라,48.5,6.0,-0.122,C
2026-03-31_0502,중티어,탱커,개시자,D.VA,47.0,9.0,-0.484,D
2026-03-31_0502,중티어,딜러,전문가,메이,54.7,7.1,2.318,S
2026-03-31_0502,중티어,딜러,측면 공격가,리퍼,53.1,10.2,1.87,A
2026-03-31_0502,중티어,딜러,측면 공격가,벤데타,51.6,10.2,1.27,B
2026-03-31_0502,중티어,딜러,측면 공격가,겐지,50.1,11.1,0.725,C
2026-03-31_0502,중티어,딜러,전문가,바스티온,48.8,10.0,0.137,D
2026-03-31_0502,중티어,힐러,생존왕,미즈키,53.7,20.3,2.62,S
2026-03-31_0502,중티어,힐러,전술가,루시우,51.4,6.8,0.942,A
2026-03-31_0502,중티어,힐러,의무관,모이라,50.1,15.1,0.888,B
2026-03-31_0502,중티어,힐러,의무관,메르시,47.4,9.3,-0.518,B
2026-03-31_0502,중티어,힐러,의무관,라이프위버,47.5,6.3,-0.646,C
2026-03-31_0502,중티어,힐러,전술가,바티스트,46.2,6.3,-1.166,D
2026-03-31_0502,고티어,탱커,강건한 자,도미나,52.5,11.4,1.907,S
2026-03-31_0502,고티어,탱커,강건한 자,라인하르트,52.0,7.8,1.421,A
2026-03-31_0502,고티어,탱커,개시자,둠피스트,49.9,9.3,0.7,A
2026-03-31_0502,고티어,탱커,투사,마우가,50.1,4.9,0.43,B
2026-03-31_0502,고티어,탱커,개시자,레킹볼,49.9,3.3,0.223,B
2026-03-31_0502,고티어,탱커,투사,로드호그,48.0,8.6,-0.115,C
2026-03-31_0502,고티어,탱커,강건한 자,라마트라,48.5,6.0,-0.122,C
2026-03-31_0502,고티어,탱커,개시자,D.VA,47.0,9.0,-0.484,D
2026-03-31_0502,고티어,딜러,전문가,메이,54.7,7.1,2.318,S
2026-03-31_0502,고티어,딜러,측면 공격가,리퍼,53.1,10.2,1.87,A
2026-03-31_0502,고티어,딜러,측면 공격가,벤데타,51.6,10.2,1.27,B
2026-03-31_0502,고티어,딜러,측면 공격가,겐지,50.1,11.1,0.725,C
2026-03-31_0502,고티어,딜러,전문가,바스티온,48.8,10.0,0.137,D
2026-03-31_0502,고티어,힐러,생존왕,미즈키,53.7,20.3,2.62,S
2026-03-31_0502,고티어,힐러,전술가,루시우,51.4,6.8,0.942,A
2026-03-31_0502,고티어,힐러,의무관,모이라,50.1,15.1,0.888,B
2026-03-31_0502,고티어,힐러,의무관,메르시,47.4,9.3,-0.518,B
2026-03-31_0502,고티어,힐러,의무관,라이프위버,47.5,6.3,-0.646,C
2026-03-31_0502,고티어,힐러,전술가,바티스트,46.2,6.3,-1.166,D
