날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-05-11_0626,저티어,탱커,강건한 자,라인하르트,52.1,7.6,1.463,S
2026-05-11_0626,저티어,탱커,강건한 자,도미나,51.9,6.9,1.325,A
2026-05-11_0626,저티어,탱커,투사,마우가,50.3,10.5,0.98,A
2026-05-11_0626,저티어,탱커,강건한 자,라마트라,50.8,7.0,0.893,B
2026-05-11_0626,저티어,탱커,개시자,둠피스트,50.0,8.3,0.68,B
2026-05-11_0626,저티어,탱커,개시자,레킹볼,49.4,3.1,0.014,C
2026-05-11_0626,저티어,탱커,개시자,D.VA,47.6,9.0,-0.223,C
2026-05-11_0626,저티어,탱커,투사,로드호그,45.0,6.2,-1.492,D
2026-05-11_0626,저티어,딜러,측면 공격가,리퍼,53.4,10.5,2.056,S
2026-05-11_0626,저티어,딜러,전문가,메이,53.2,4.7,1.592,A
2026-05-11_0626,저티어,딜러,측면 공격가,겐지,50.9,13.0,1.222,B
2026-05-11_0626,저티어,딜러,전문가,바스티온,47.6,8.0,-0.43,C
2026-05-11_0626,저티어,힐러,생존왕,미즈키,51.7,12.7,1.463,S
2026-05-11_0626,저티어,힐러,의무관,라이프위버,50.8,10.7,0.98,A
2026-05-11_0626,저티어,힐러,전술가,루시우,51.2,7.5,0.942,B
2026-05-11_0626,저티어,힐러,의무관,모이라,50.0,13.4,0.826,B
2026-05-11_0626,저티어,힐러,의무관,메르시,46.7,9.0,-0.765,C
2026-05-11_0626,저티어,힐러,전술가,바티스트,45.0,5.1,-1.686,D
2026-05-11_0626,중티어,탱커,강건한 자,라인하르트,52.1,7.6,1.463,S
2026-05-11_0626,중티어,탱커,강건한 자,도미나,51.9,6.9,1.325,A
2026-05-11_0626,중티어,탱커,투사,마우가,50.3,10.5,0.98,A
2026-05-11_0626,중티어,탱커,강건한 자,라마트라,50.8,7.0,0.893,B
2026-05-11_0626,중티어,탱커,개시자,둠피스트,50.0,8.3,0.68,B
2026-05-11_0626,중티어,탱커,개시자,레킹볼,49.4,3.1,0.014,C
2026-05-11_0626,중티어,탱커,개시자,D.VA,47.6,9.0,-0.223,C
2026-05-11_0626,중티어,탱커,투사,로드호그,45.0,6.2,-1.492,D
2026-05-11_0626,중티어,딜러,측면 공격가,리퍼,53.4,10.5,2.056,S
2026-05-11_0626,중티어,딜러,전문가,메이,53.2,4.7,1.592,A
2026-05-11_0626,중티어,딜러,측면 공격가,겐지,50.9,13.0,1.222,B
2026-05-11_0626,중티어,딜러,전문가,바스티온,47.6,8.0,-0.43,C
2026-05-11_0626,중티어,힐러,생존왕,미즈키,51.7,12.7,1.463,S
2026-05-11_0626,중티어,힐러,의무관,라이프위버,50.8,10.7,0.98,A
2026-05-11_0626,중티어,힐러,전술가,루시우,51.2,7.5,0.942,B
2026-05-11_0626,중티어,힐러,의무관,모이라,50.0,13.4,0.826,B
2026-05-11_0626,중티어,힐러,의무관,메르시,46.7,9.0,-0.765,C
2026-05-11_0626,중티어,힐러,전술가,바티스트,45.0,5.1,-1.686,D
2026-05-11_0626,고티어,탱커,강건한 자,라인하르트,52.1,7.6,1.463,S
2026-05-11_0626,고티어,탱커,강건한 자,도미나,51.9,6.9,1.325,A
2026-05-11_0626,고티어,탱커,투사,마우가,50.3,10.5,0.98,A
2026-05-11_0626,고티어,탱커,강건한 자,라마트라,50.8,7.0,0.893,B
2026-05-11_0626,고티어,탱커,개시자,둠피스트,50.0,8.3,0.68,B
2026-05-11_0626,고티어,탱커,개시자,레킹볼,49.4,3.1,0.014,C
2026-05-11_0626,고티어,탱커,개시자,D.VA,47.6,9.0,-0.223,C
2026-05-11_0626,고티어,탱커,투사,로드호그,45.0,6.2,-1.492,D
2026-05-11_0626,고티어,딜러,측면 공격가,리퍼,53.4,10.5,2.056,S
2026-05-11_0626,고티어,딜러,전문가,메이,53.2,4.7,1.592,A
2026-05-11_0626,고티어,딜러,측면 공격가,겐지,50.9,13.0,1.222,B
2026-05-11_0626,고티어,딜러,전문가,바스티온,47.6,8.0,-0.43,C
2026-05-11_0626,고티어,힐러,생존왕,미즈키,51.7,12.7,1.463,S
2026-05-11_0626,고티어,힐러,의무관,라이프위버,50.8,10.7,0.98,A
2026-05-11_0626,고티어,힐러,전술가,루시우,51.2,7.5,0.942,B
2026-05-11_0626,고티어,힐러,의무관,모이라,50.0,13.4,0.826,B
2026-05-11_0626,고티어,힐러,의무관,메르시,46.7,9.0,-0.765,C
2026-05-11_0626,고티어,힐러,전술가,바티스트,45.0,5.1,-1.686,D
