날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-05-01_1544,저티어,탱커,강건한 자,라인하르트,52.3,7.6,1.56,S
2026-05-01_1544,저티어,탱커,강건한 자,도미나,51.8,7.7,1.368,A
2026-05-01_1544,저티어,탱커,강건한 자,라마트라,50.9,7.3,0.975,A
2026-05-01_1544,저티어,탱커,개시자,둠피스트,50.2,8.5,0.796,B
2026-05-01_1544,저티어,탱커,투사,마우가,49.9,6.9,0.541,B
2026-05-01_1544,저티어,탱커,개시자,레킹볼,49.5,3.2,0.069,C
2026-05-01_1544,저티어,탱커,개시자,D.VA,47.6,9.4,-0.168,C
2026-05-01_1544,저티어,탱커,투사,로드호그,45.0,6.4,-1.461,D
2026-05-01_1544,저티어,딜러,측면 공격가,리퍼,53.6,10.2,2.139,S
2026-05-01_1544,저티어,딜러,전문가,메이,53.0,4.5,1.509,A
2026-05-01_1544,저티어,딜러,측면 공격가,겐지,51.0,13.0,1.291,B
2026-05-01_1544,저티어,딜러,전문가,바스티온,47.7,7.3,-0.419,C
2026-05-01_1544,저티어,힐러,생존왕,미즈키,51.7,13.2,1.471,S
2026-05-01_1544,저티어,힐러,의무관,라이프위버,50.9,11.3,1.037,A
2026-05-01_1544,저티어,힐러,전술가,루시우,51.3,7.4,0.963,B
2026-05-01_1544,저티어,힐러,의무관,모이라,50.0,13.4,0.803,B
2026-05-01_1544,저티어,힐러,의무관,메르시,47.1,9.5,-0.591,C
2026-05-01_1544,저티어,힐러,전술가,바티스트,45.0,5.3,-1.683,D
2026-05-01_1544,중티어,탱커,강건한 자,라인하르트,52.3,7.6,1.56,S
2026-05-01_1544,중티어,탱커,강건한 자,도미나,51.8,7.7,1.368,A
2026-05-01_1544,중티어,탱커,강건한 자,라마트라,50.9,7.3,0.975,A
2026-05-01_1544,중티어,탱커,개시자,둠피스트,50.2,8.5,0.796,B
2026-05-01_1544,중티어,탱커,투사,마우가,49.9,6.9,0.541,B
2026-05-01_1544,중티어,탱커,개시자,레킹볼,49.5,3.2,0.069,C
2026-05-01_1544,중티어,탱커,개시자,D.VA,47.6,9.4,-0.168,C
2026-05-01_1544,중티어,탱커,투사,로드호그,45.0,6.4,-1.461,D
2026-05-01_1544,중티어,딜러,측면 공격가,리퍼,53.6,10.2,2.139,S
2026-05-01_1544,중티어,딜러,전문가,메이,53.0,4.5,1.509,A
2026-05-01_1544,중티어,딜러,측면 공격가,겐지,51.0,13.0,1.291,B
2026-05-01_1544,중티어,딜러,전문가,바스티온,47.7,7.3,-0.419,C
2026-05-01_1544,중티어,힐러,생존왕,미즈키,51.7,13.2,1.471,S
2026-05-01_1544,중티어,힐러,의무관,라이프위버,50.9,11.3,1.037,A
2026-05-01_1544,중티어,힐러,전술가,루시우,51.3,7.4,0.963,B
2026-05-01_1544,중티어,힐러,의무관,모이라,50.0,13.4,0.803,B
2026-05-01_1544,중티어,힐러,의무관,메르시,47.1,9.5,-0.591,C
2026-05-01_1544,중티어,힐러,전술가,바티스트,45.0,5.3,-1.683,D
2026-05-01_1544,고티어,탱커,강건한 자,라인하르트,52.2,7.6,1.516,S
2026-05-01_1544,고티어,탱커,강건한 자,도미나,51.7,7.5,1.307,A
2026-05-01_1544,고티어,탱커,강건한 자,라마트라,51.0,7.3,1.01,A
2026-05-01_1544,고티어,탱커,개시자,둠피스트,50.1,8.5,0.751,B
2026-05-01_1544,고티어,탱커,투사,마우가,50.1,7.7,0.684,B
2026-05-01_1544,고티어,탱커,개시자,레킹볼,49.4,3.2,0.028,C
2026-05-01_1544,고티어,탱커,개시자,D.VA,47.6,9.3,-0.182,C
2026-05-01_1544,고티어,탱커,투사,로드호그,45.0,6.3,-1.473,D
2026-05-01_1544,고티어,딜러,측면 공격가,리퍼,53.5,10.3,2.1,S
2026-05-01_1544,고티어,딜러,전문가,메이,53.0,4.5,1.506,A
2026-05-01_1544,고티어,딜러,측면 공격가,겐지,51.0,13.0,1.284,B
2026-05-01_1544,고티어,딜러,전문가,바스티온,47.6,7.5,-0.45,C
2026-05-01_1544,고티어,힐러,생존왕,미즈키,51.6,13.1,1.433,S
2026-05-01_1544,고티어,힐러,의무관,라이프위버,50.9,11.1,1.032,A
2026-05-01_1544,고티어,힐러,전술가,루시우,51.3,7.4,0.968,B
2026-05-01_1544,고티어,힐러,의무관,모이라,50.0,13.4,0.811,B
2026-05-01_1544,고티어,힐러,의무관,메르시,47.0,9.3,-0.637,C
2026-05-01_1544,고티어,힐러,전술가,바티스트,45.0,5.2,-1.685,D
