날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-05-08_1607,저티어,탱커,강건한 자,라인하르트,51.1,8.0,1.163,S
2026-05-08_1607,저티어,탱커,강건한 자,도미나,51.2,7.5,1.158,A
2026-05-08_1607,저티어,탱커,개시자,둠피스트,51.6,2.7,0.884,A
2026-05-08_1607,저티어,탱커,강건한 자,라마트라,49.8,9.8,0.806,B
2026-05-08_1607,저티어,탱커,투사,마우가,49.0,8.7,0.386,B
2026-05-08_1607,저티어,탱커,개시자,D.VA,48.1,9.8,0.126,C
2026-05-08_1607,저티어,탱커,개시자,레킹볼,48.9,2.1,-0.25,C
2026-05-08_1607,저티어,탱커,투사,로드호그,44.1,4.5,-1.953,D
2026-05-08_1607,저티어,딜러,측면 공격가,리퍼,52.6,13.9,1.882,S
2026-05-08_1607,저티어,딜러,측면 공격가,겐지,51.9,8.1,1.251,A
2026-05-08_1607,저티어,딜러,전문가,메이,50.8,5.3,0.641,B
2026-05-08_1607,저티어,딜러,전문가,바스티온,47.4,12.3,-0.295,C
2026-05-08_1607,저티어,힐러,생존왕,미즈키,51.8,12.9,1.429,S
2026-05-08_1607,저티어,힐러,의무관,모이라,49.2,23.7,0.983,A
2026-05-08_1607,저티어,힐러,전술가,루시우,48.2,8.8,-0.236,B
2026-05-08_1607,저티어,힐러,의무관,라이프위버,47.5,5.9,-0.676,B
2026-05-08_1607,저티어,힐러,의무관,메르시,45.2,9.1,-1.42,C
2026-05-08_1607,저티어,힐러,전술가,바티스트,44.6,5.1,-1.88,D
2026-05-08_1607,중티어,탱커,강건한 자,도미나,52.0,4.3,1.22,S
2026-05-08_1607,중티어,탱커,개시자,둠피스트,50.6,6.5,0.874,A
2026-05-08_1607,중티어,탱커,개시자,D.VA,50.1,7.2,0.742,A
2026-05-08_1607,중티어,탱커,강건한 자,라마트라,48.7,5.0,-0.032,B
2026-05-08_1607,중티어,탱커,강건한 자,라인하르트,48.0,7.2,-0.098,B
2026-05-08_1607,중티어,탱커,투사,마우가,47.4,9.6,-0.103,C
2026-05-08_1607,중티어,탱커,개시자,레킹볼,48.1,3.3,-0.438,C
2026-05-08_1607,중티어,탱커,투사,로드호그,42.5,6.1,-2.405,D
2026-05-08_1607,중티어,딜러,측면 공격가,겐지,52.0,16.1,1.756,S
2026-05-08_1607,중티어,딜러,측면 공격가,리퍼,51.8,13.0,1.492,A
2026-05-08_1607,중티어,딜러,전문가,메이,48.6,5.4,-0.239,B
2026-05-08_1607,중티어,딜러,전문가,바스티온,46.9,5.9,-0.89,C
2026-05-08_1607,중티어,힐러,생존왕,미즈키,48.9,8.5,0.252,S
2026-05-08_1607,중티어,힐러,전술가,루시우,48.7,5.3,-0.088,A
2026-05-08_1607,중티어,힐러,의무관,라이프위버,47.5,7.6,-0.381,B
2026-05-08_1607,중티어,힐러,의무관,모이라,46.7,11.1,-0.416,B
2026-05-08_1607,중티어,힐러,의무관,메르시,47.6,6.0,-0.471,C
2026-05-08_1607,중티어,힐러,전술가,바티스트,43.7,5.7,-2.056,D
2026-05-08_1607,고티어,탱커,개시자,D.VA,51.4,4.6,1.086,S
2026-05-08_1607,고티어,탱커,강건한 자,도미나,51.8,3.2,1.086,A
2026-05-08_1607,고티어,탱커,개시자,둠피스트,48.0,9.9,0.331,A
2026-05-08_1607,고티어,탱커,강건한 자,라마트라,47.4,3.2,-0.674,B
2026-05-08_1607,고티어,탱커,개시자,레킹볼,46.9,4.2,-0.76,B
2026-05-08_1607,고티어,탱커,투사,마우가,45.7,8.1,-0.794,C
2026-05-08_1607,고티어,탱커,투사,로드호그,42.3,4.8,-2.531,C
2026-05-08_1607,고티어,탱커,강건한 자,라인하르트,41.6,4.0,-2.903,D
2026-05-08_1607,고티어,딜러,측면 공격가,리퍼,52.7,12.6,1.954,S
2026-05-08_1607,고티어,딜러,측면 공격가,겐지,50.1,15.1,1.087,A
2026-05-08_1607,고티어,딜러,전문가,바스티온,47.1,3.6,-0.91,B
2026-05-08_1607,고티어,딜러,전문가,메이,47.0,3.3,-0.971,C
2026-05-08_1607,고티어,힐러,전술가,루시우,48.2,6.8,0.015,S
2026-05-08_1607,고티어,힐러,생존왕,미즈키,46.6,5.9,-0.722,A
2026-05-08_1607,고티어,힐러,의무관,메르시,46.2,4.5,-1.034,B
2026-05-08_1607,고티어,힐러,의무관,모이라,46.0,4.7,-1.092,B
2026-05-08_1607,고티어,힐러,의무관,라이프위버,44.9,5.2,-1.478,C
2026-05-08_1607,고티어,힐러,전술가,바티스트,43.7,6.2,-1.85,D
