날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-07-13_1703,저티어,탱커,강건한 자,라인하르트,53.7,10.0,2.322,S
2026-07-13_1703,저티어,탱커,강건한 자,도미나,51.8,5.9,1.217,A
2026-07-13_1703,저티어,탱커,개시자,둠피스트,51.0,9.4,1.192,A
2026-07-13_1703,저티어,탱커,투사,마우가,49.2,8.1,0.362,B
2026-07-13_1703,저티어,탱커,개시자,레킹볼,49.7,3.6,0.183,B
2026-07-13_1703,저티어,탱커,강건한 자,라마트라,48.8,6.7,0.084,C
2026-07-13_1703,저티어,탱커,투사,로드호그,45.8,6.6,-1.124,C
2026-07-13_1703,저티어,탱커,개시자,D.VA,45.1,6.7,-1.396,D
2026-07-13_1703,저티어,딜러,전문가,메이,55.1,7.0,2.637,S
2026-07-13_1703,저티어,딜러,측면 공격가,겐지,51.1,10.2,1.309,A
2026-07-13_1703,저티어,딜러,측면 공격가,벤데타,51.0,3.2,0.673,B
2026-07-13_1703,저티어,딜러,측면 공격가,리퍼,49.8,7.0,0.517,C
2026-07-13_1703,저티어,딜러,전문가,바스티온,48.6,7.8,0.105,D
2026-07-13_1703,저티어,힐러,생존왕,미즈키,53.7,20.7,2.606,S
2026-07-13_1703,저티어,힐러,의무관,모이라,52.7,20.3,2.184,A
2026-07-13_1703,저티어,힐러,전술가,루시우,49.5,4.8,0.061,B
2026-07-13_1703,저티어,힐러,의무관,라이프위버,48.6,8.1,-0.12,B
2026-07-13_1703,저티어,힐러,전술가,바티스트,46.7,4.7,-1.064,C
2026-07-13_1703,저티어,힐러,의무관,메르시,45.7,7.6,-1.307,D
2026-07-13_1703,중티어,탱커,강건한 자,라인하르트,53.7,10.0,2.322,S
2026-07-13_1703,중티어,탱커,강건한 자,도미나,51.8,5.9,1.217,A
2026-07-13_1703,중티어,탱커,개시자,둠피스트,51.0,9.4,1.192,A
2026-07-13_1703,중티어,탱커,투사,마우가,49.2,8.1,0.362,B
2026-07-13_1703,중티어,탱커,개시자,레킹볼,49.7,3.6,0.183,B
2026-07-13_1703,중티어,탱커,강건한 자,라마트라,48.8,6.7,0.084,C
2026-07-13_1703,중티어,탱커,투사,로드호그,45.8,6.6,-1.124,C
2026-07-13_1703,중티어,탱커,개시자,D.VA,45.1,6.7,-1.396,D
2026-07-13_1703,중티어,딜러,전문가,메이,55.1,7.0,2.637,S
2026-07-13_1703,중티어,딜러,측면 공격가,겐지,51.1,10.2,1.309,A
2026-07-13_1703,중티어,딜러,측면 공격가,벤데타,51.0,3.2,0.673,B
2026-07-13_1703,중티어,딜러,측면 공격가,리퍼,49.8,7.0,0.517,C
2026-07-13_1703,중티어,딜러,전문가,바스티온,48.6,7.8,0.105,D
2026-07-13_1703,중티어,힐러,생존왕,미즈키,53.7,20.7,2.606,S
2026-07-13_1703,중티어,힐러,의무관,모이라,52.7,20.3,2.184,A
2026-07-13_1703,중티어,힐러,전술가,루시우,49.5,4.8,0.061,B
2026-07-13_1703,중티어,힐러,의무관,라이프위버,48.6,8.1,-0.12,B
2026-07-13_1703,중티어,힐러,전술가,바티스트,46.7,4.7,-1.064,C
2026-07-13_1703,중티어,힐러,의무관,메르시,45.7,7.6,-1.307,D
2026-07-13_1703,고티어,탱커,강건한 자,라인하르트,53.7,10.0,2.322,S
2026-07-13_1703,고티어,탱커,강건한 자,도미나,51.8,5.9,1.217,A
2026-07-13_1703,고티어,탱커,개시자,둠피스트,51.0,9.4,1.192,A
2026-07-13_1703,고티어,탱커,투사,마우가,49.2,8.1,0.362,B
2026-07-13_1703,고티어,탱커,개시자,레킹볼,49.7,3.6,0.183,B
2026-07-13_1703,고티어,탱커,강건한 자,라마트라,48.8,6.7,0.084,C
2026-07-13_1703,고티어,탱커,투사,로드호그,45.8,6.6,-1.124,C
2026-07-13_1703,고티어,탱커,개시자,D.VA,45.1,6.7,-1.396,D
2026-07-13_1703,고티어,딜러,전문가,메이,55.1,7.0,2.637,S
2026-07-13_1703,고티어,딜러,측면 공격가,겐지,51.1,10.2,1.309,A
2026-07-13_1703,고티어,딜러,측면 공격가,벤데타,51.0,3.2,0.673,B
2026-07-13_1703,고티어,딜러,측면 공격가,리퍼,49.8,7.0,0.517,C
2026-07-13_1703,고티어,딜러,전문가,바스티온,48.6,7.8,0.105,D
2026-07-13_1703,고티어,힐러,생존왕,미즈키,53.7,20.7,2.606,S
2026-07-13_1703,고티어,힐러,의무관,모이라,52.7,20.3,2.184,A
2026-07-13_1703,고티어,힐러,전술가,루시우,49.5,4.8,0.061,B
2026-07-13_1703,고티어,힐러,의무관,라이프위버,48.6,8.1,-0.12,B
2026-07-13_1703,고티어,힐러,전술가,바티스트,46.7,4.7,-1.064,C
2026-07-13_1703,고티어,힐러,의무관,메르시,45.7,7.6,-1.307,D
