날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-06-22_1839,저티어,탱커,강건한 자,라인하르트,54.4,10.3,2.602,S
2026-06-22_1839,저티어,탱커,강건한 자,도미나,51.7,6.6,1.22,A
2026-06-22_1839,저티어,탱커,개시자,둠피스트,51.0,9.6,1.185,A
2026-06-22_1839,저티어,탱커,개시자,레킹볼,49.9,3.7,0.263,B
2026-06-22_1839,저티어,탱커,투사,마우가,49.0,8.1,0.262,B
2026-06-22_1839,저티어,탱커,강건한 자,라마트라,49.0,7.2,0.189,C
2026-06-22_1839,저티어,탱커,투사,로드호그,45.5,6.5,-1.268,C
2026-06-22_1839,저티어,탱커,개시자,D.VA,44.6,6.7,-1.612,D
2026-06-22_1839,저티어,딜러,전문가,메이,54.8,5.7,2.537,S
2026-06-22_1839,저티어,딜러,측면 공격가,겐지,51.0,8.1,1.277,A
2026-06-22_1839,저티어,딜러,측면 공격가,벤데타,51.3,2.6,0.802,B
2026-06-22_1839,저티어,딜러,측면 공격가,리퍼,48.8,5.3,0.094,C
2026-06-22_1839,저티어,딜러,전문가,바스티온,48.1,6.0,-0.11,D
2026-06-22_1839,저티어,힐러,생존왕,미즈키,53.9,20.1,2.645,S
2026-06-22_1839,저티어,힐러,의무관,모이라,53.7,20.5,2.586,A
2026-06-22_1839,저티어,힐러,전술가,루시우,49.9,4.9,0.224,B
2026-06-22_1839,저티어,힐러,의무관,라이프위버,48.8,8.6,-0.016,B
2026-06-22_1839,저티어,힐러,전술가,바티스트,46.3,4.9,-1.216,C
2026-06-22_1839,저티어,힐러,의무관,메르시,45.6,7.7,-1.344,D
2026-06-22_1839,중티어,탱커,강건한 자,라인하르트,54.4,10.3,2.602,S
2026-06-22_1839,중티어,탱커,강건한 자,도미나,51.7,6.6,1.22,A
2026-06-22_1839,중티어,탱커,개시자,둠피스트,51.0,9.6,1.185,A
2026-06-22_1839,중티어,탱커,개시자,레킹볼,49.9,3.7,0.263,B
2026-06-22_1839,중티어,탱커,투사,마우가,49.0,8.1,0.262,B
2026-06-22_1839,중티어,탱커,강건한 자,라마트라,49.0,7.2,0.189,C
2026-06-22_1839,중티어,탱커,투사,로드호그,45.5,6.5,-1.268,C
2026-06-22_1839,중티어,탱커,개시자,D.VA,44.6,6.7,-1.612,D
2026-06-22_1839,중티어,딜러,전문가,메이,54.8,5.7,2.537,S
2026-06-22_1839,중티어,딜러,측면 공격가,겐지,51.0,8.1,1.277,A
2026-06-22_1839,중티어,딜러,측면 공격가,벤데타,51.3,2.6,0.802,B
2026-06-22_1839,중티어,딜러,측면 공격가,리퍼,48.8,5.3,0.094,C
2026-06-22_1839,중티어,딜러,전문가,바스티온,48.1,6.0,-0.11,D
2026-06-22_1839,중티어,힐러,생존왕,미즈키,53.9,20.1,2.645,S
2026-06-22_1839,중티어,힐러,의무관,모이라,53.7,20.5,2.586,A
2026-06-22_1839,중티어,힐러,전술가,루시우,49.9,4.9,0.224,B
2026-06-22_1839,중티어,힐러,의무관,라이프위버,48.8,8.6,-0.016,B
2026-06-22_1839,중티어,힐러,전술가,바티스트,46.3,4.9,-1.216,C
2026-06-22_1839,중티어,힐러,의무관,메르시,45.6,7.7,-1.344,D
2026-06-22_1839,고티어,탱커,강건한 자,라인하르트,54.4,10.3,2.602,S
2026-06-22_1839,고티어,탱커,강건한 자,도미나,51.7,6.6,1.22,A
2026-06-22_1839,고티어,탱커,개시자,둠피스트,51.0,9.6,1.185,A
2026-06-22_1839,고티어,탱커,개시자,레킹볼,49.9,3.7,0.263,B
2026-06-22_1839,고티어,탱커,투사,마우가,49.0,8.1,0.262,B
2026-06-22_1839,고티어,탱커,강건한 자,라마트라,49.0,7.2,0.189,C
2026-06-22_1839,고티어,탱커,투사,로드호그,45.5,6.5,-1.268,C
2026-06-22_1839,고티어,탱커,개시자,D.VA,44.6,6.7,-1.612,D
2026-06-22_1839,고티어,딜러,전문가,메이,54.8,5.7,2.537,S
2026-06-22_1839,고티어,딜러,측면 공격가,겐지,51.0,8.1,1.277,A
2026-06-22_1839,고티어,딜러,측면 공격가,벤데타,51.3,2.6,0.802,B
2026-06-22_1839,고티어,딜러,측면 공격가,리퍼,48.8,5.3,0.094,C
2026-06-22_1839,고티어,딜러,전문가,바스티온,48.1,6.0,-0.11,D
2026-06-22_1839,고티어,힐러,생존왕,미즈키,53.9,20.1,2.645,S
2026-06-22_1839,고티어,힐러,의무관,모이라,53.7,20.5,2.586,A
2026-06-22_1839,고티어,힐러,전술가,루시우,49.9,4.9,0.224,B
2026-06-22_1839,고티어,힐러,의무관,라이프위버,48.8,8.6,-0.016,B
2026-06-22_1839,고티어,힐러,전술가,바티스트,46.3,4.9,-1.216,C
2026-06-22_1839,고티어,힐러,의무관,메르시,45.6,7.7,-1.344,D
