날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-06-11_1800,저티어,탱커,강건한 자,도미나,51.5,6.3,1.168,S
2026-06-11_1800,저티어,탱커,강건한 자,라인하르트,50.6,8.1,0.971,A
2026-06-11_1800,저티어,탱커,개시자,둠피스트,51.6,3.4,0.947,A
2026-06-11_1800,저티어,탱커,강건한 자,라마트라,50.2,9.3,0.919,B
2026-06-11_1800,저티어,탱커,투사,마우가,48.4,10.4,0.298,B
2026-06-11_1800,저티어,탱커,개시자,레킹볼,48.9,2.2,-0.242,C
2026-06-11_1800,저티어,탱커,개시자,D.VA,47.4,8.6,-0.264,C
2026-06-11_1800,저티어,탱커,투사,로드호그,44.2,4.9,-1.878,D
2026-06-11_1800,저티어,딜러,측면 공격가,리퍼,53.4,15.2,2.345,S
2026-06-11_1800,저티어,딜러,측면 공격가,겐지,51.7,8.6,1.237,A
2026-06-11_1800,저티어,딜러,전문가,메이,51.4,6.1,0.955,B
2026-06-11_1800,저티어,딜러,전문가,바스티온,47.8,13.8,0.014,C
2026-06-11_1800,저티어,딜러,측면 공격가,벤데타,48.6,2.6,-0.392,D
2026-06-11_1800,저티어,힐러,생존왕,미즈키,51.5,12.0,1.29,S
2026-06-11_1800,저티어,힐러,의무관,모이라,49.2,22.6,0.98,A
2026-06-11_1800,저티어,힐러,의무관,라이프위버,48.2,6.0,-0.375,B
2026-06-11_1800,저티어,힐러,전술가,루시우,47.4,7.1,-0.632,B
2026-06-11_1800,저티어,힐러,전술가,바티스트,46.0,5.5,-1.284,C
2026-06-11_1800,저티어,힐러,의무관,메르시,45.0,9.4,-1.459,D
2026-06-11_1800,중티어,탱커,개시자,둠피스트,52.2,8.1,1.659,S
2026-06-11_1800,중티어,탱커,강건한 자,도미나,52.8,3.6,1.466,A
2026-06-11_1800,중티어,탱커,개시자,D.VA,49.1,6.6,0.275,A
2026-06-11_1800,중티어,탱커,강건한 자,라인하르트,48.1,7.2,-0.067,B
2026-06-11_1800,중티어,탱커,투사,마우가,47.0,9.4,-0.296,B
2026-06-11_1800,중티어,탱커,개시자,레킹볼,47.8,3.7,-0.524,C
2026-06-11_1800,중티어,탱커,강건한 자,라마트라,47.5,4.8,-0.538,C
2026-06-11_1800,중티어,탱커,투사,로드호그,42.9,6.5,-2.215,D
2026-06-11_1800,중티어,딜러,측면 공격가,리퍼,52.7,15.2,2.082,S
2026-06-11_1800,중티어,딜러,측면 공격가,겐지,51.9,16.1,1.822,A
2026-06-11_1800,중티어,딜러,전문가,메이,49.0,6.3,0.015,B
2026-06-11_1800,중티어,딜러,전문가,바스티온,47.6,6.2,-0.551,C
2026-06-11_1800,중티어,딜러,측면 공격가,벤데타,47.3,1.7,-0.968,D
2026-06-11_1800,중티어,힐러,생존왕,미즈키,49.3,8.4,0.452,S
2026-06-11_1800,중티어,힐러,의무관,메르시,47.9,5.9,-0.326,A
2026-06-11_1800,중티어,힐러,의무관,모이라,46.7,10.0,-0.448,B
2026-06-11_1800,중티어,힐러,의무관,라이프위버,46.9,6.7,-0.656,B
2026-06-11_1800,중티어,힐러,전술가,루시우,47.2,4.0,-0.771,C
2026-06-11_1800,중티어,힐러,전술가,바티스트,46.2,6.3,-0.971,D
2026-06-11_1800,고티어,탱커,강건한 자,도미나,52.8,2.5,1.391,S
2026-06-11_1800,고티어,탱커,개시자,둠피스트,49.7,12.0,1.18,A
2026-06-11_1800,고티어,탱커,개시자,D.VA,49.4,4.9,0.291,A
2026-06-11_1800,고티어,탱커,개시자,레킹볼,47.2,4.7,-0.611,B
2026-06-11_1800,고티어,탱커,강건한 자,라마트라,46.9,3.2,-0.893,B
2026-06-11_1800,고티어,탱커,투사,마우가,44.7,7.6,-1.297,C
2026-06-11_1800,고티어,탱커,강건한 자,라인하르트,43.7,4.6,-2.022,C
2026-06-11_1800,고티어,탱커,투사,로드호그,42.0,4.8,-2.68,D
2026-06-11_1800,고티어,딜러,측면 공격가,리퍼,53.4,15.3,2.519,S
2026-06-11_1800,고티어,딜러,측면 공격가,겐지,49.8,14.5,1.018,A
2026-06-11_1800,고티어,딜러,전문가,바스티온,49.2,4.0,-0.017,B
2026-06-11_1800,고티어,딜러,전문가,메이,48.3,4.6,-0.332,C
2026-06-11_1800,고티어,딜러,측면 공격가,벤데타,46.1,1.2,-1.469,D
2026-06-11_1800,고티어,힐러,생존왕,미즈키,49.2,8.3,0.594,S
2026-06-11_1800,고티어,힐러,의무관,메르시,47.8,4.4,-0.396,A
2026-06-11_1800,고티어,힐러,전술가,바티스트,46.5,6.3,-0.706,B
2026-06-11_1800,고티어,힐러,전술가,루시우,46.6,4.7,-0.843,B
2026-06-11_1800,고티어,힐러,의무관,모이라,45.2,4.4,-1.436,C
2026-06-11_1800,고티어,힐러,의무관,라이프위버,43.0,4.6,-2.294,D
