날짜,그룹,역할,영웅,승률(%),픽률(%),점수,티어
2026-03-15,저티어,탱커,시그마,52.3,15.2,2.067,S
2026-03-15,저티어,탱커,도미나,53.13,8.57,1.898,A
2026-03-15,저티어,탱커,둠피스트,51.43,4.6,0.919,A
2026-03-15,저티어,탱커,라인하르트,50.13,8.1,0.663,B
2026-03-15,저티어,탱커,레킹볼,51.0,2.73,0.606,B
2026-03-15,저티어,탱커,오리사,46.73,13.0,-0.327,B
2026-03-15,저티어,탱커,라마트라,47.5,7.87,-0.406,C
2026-03-15,저티어,탱커,D.VA,47.1,9.27,-0.461,C
2026-03-15,저티어,탱커,로드호그,47.53,6.07,-0.53,D
2026-03-15,저티어,탱커,마우가,46.9,4.13,-0.928,D
2026-03-15,저티어,딜러,시메트라,54.07,4.2,1.897,S
2026-03-15,저티어,딜러,리퍼,51.97,13.87,1.676,A
2026-03-15,저티어,딜러,겐지,52.37,10.07,1.593,A
2026-03-15,저티어,딜러,벤데타,53.1,3.23,1.447,B
2026-03-15,저티어,딜러,메이,51.6,7.67,1.131,B
2026-03-15,저티어,딜러,벤처,51.1,3.13,0.64,B
2026-03-15,저티어,딜러,솔저: 76,48.13,19.03,0.47,C
2026-03-15,저티어,딜러,솜브라,49.9,2.97,0.15,C
2026-03-15,저티어,딜러,바스티온,47.53,12.37,-0.196,D
2026-03-15,저티어,딜러,소전,44.03,17.17,-1.289,D
2026-03-15,저티어,서포터,미즈키,53.13,17.6,2.071,S
2026-03-15,저티어,서포터,일리아리,52.83,12.1,1.695,A
2026-03-15,저티어,서포터,우양,52.5,12.6,1.586,A
2026-03-15,저티어,서포터,아나,48.6,34.67,1.052,B
2026-03-15,저티어,서포터,모이라,49.07,23.57,0.724,B
2026-03-15,저티어,서포터,메르시,47.5,9.57,-0.555,B
2026-03-15,저티어,서포터,브리기테,47.93,2.5,-0.712,C
2026-03-15,저티어,서포터,루시우,47.3,6.13,-0.795,C
2026-03-15,저티어,서포터,바티스트,44.97,6.3,-1.719,D
2026-03-15,저티어,서포터,라이프위버,44.1,3.97,-2.175,D
2026-03-15,중티어,탱커,시그마,53.45,12.95,2.471,S
2026-03-15,중티어,탱커,도미나,54.25,7.4,2.324,A
2026-03-15,중티어,탱커,둠피스트,49.3,8.15,0.407,A
2026-03-15,중티어,탱커,D.VA,49.0,8.45,0.312,B
2026-03-15,중티어,탱커,레킹볼,48.35,4.3,-0.298,B
2026-03-15,중티어,탱커,로드호그,47.55,7.65,-0.335,B
2026-03-15,중티어,탱커,오리사,47.25,8.45,-0.388,C
2026-03-15,중티어,탱커,라인하르트,46.4,6.55,-0.888,C
2026-03-15,중티어,탱커,라마트라,45.95,4.3,-1.258,D
2026-03-15,중티어,탱커,마우가,45.2,3.0,-1.667,D
2026-03-15,중티어,딜러,겐지,51.7,16.15,1.883,S
2026-03-15,중티어,딜러,시메트라,52.85,3.9,1.431,A
2026-03-15,중티어,딜러,메이,51.1,7.1,0.969,A
2026-03-15,중티어,딜러,리퍼,50.25,10.0,0.845,B
2026-03-15,중티어,딜러,벤데타,51.45,3.45,0.837,B
2026-03-15,중티어,딜러,벤처,51.3,3.95,0.814,B
2026-03-15,중티어,딜러,솔저: 76,48.5,12.2,0.309,C
2026-03-15,중티어,딜러,솜브라,48.6,4.25,-0.243,C
2026-03-15,중티어,딜러,소전,45.55,14.9,-0.67,D
2026-03-15,중티어,딜러,바스티온,45.6,4.65,-1.414,D
2026-03-15,중티어,서포터,일리아리,54.45,12.9,2.344,S
2026-03-15,중티어,서포터,아나,49.4,53.6,2.101,A
2026-03-15,중티어,서포터,우양,53.2,16.7,2.01,A
2026-03-15,중티어,서포터,미즈키,51.2,15.65,1.164,B
2026-03-15,중티어,서포터,메르시,49.5,6.25,0.073,B
2026-03-15,중티어,서포터,루시우,48.65,4.4,-0.348,B
2026-03-15,중티어,서포터,모이라,47.6,12.1,-0.431,C
2026-03-15,중티어,서포터,바티스트,45.65,7.9,-1.395,C
2026-03-15,중티어,서포터,브리기테,45.65,4.35,-1.55,D
2026-03-15,중티어,서포터,라이프위버,40.5,3.5,-3.647,D
