날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-07-21_1613,저티어,탱커,강건한 자,라인하르트,52.3,9.3,1.759,S
2026-07-21_1613,저티어,탱커,개시자,둠피스트,52.4,3.5,1.276,A
2026-07-21_1613,저티어,탱커,강건한 자,라마트라,50.2,10.6,1.036,A
2026-07-21_1613,저티어,탱커,강건한 자,도미나,49.7,5.3,0.358,B
2026-07-21_1613,저티어,탱커,개시자,레킹볼,50.3,2.4,0.337,B
2026-07-21_1613,저티어,탱커,투사,마우가,48.8,8.7,0.305,C
2026-07-21_1613,저티어,탱커,개시자,D.VA,45.8,7.9,-0.967,C
2026-07-21_1613,저티어,탱커,투사,로드호그,45.2,5.5,-1.424,D
2026-07-21_1613,저티어,딜러,측면 공격가,겐지,53.5,8.4,1.958,S
2026-07-21_1613,저티어,딜러,전문가,메이,52.8,8.9,1.711,A
2026-07-21_1613,저티어,딜러,측면 공격가,리퍼,52.0,10.2,1.477,B
2026-07-21_1613,저티어,딜러,측면 공격가,벤데타,51.5,3.9,0.859,C
2026-07-21_1613,저티어,딜러,전문가,바스티온,47.7,13.8,-0.004,D
2026-07-21_1613,저티어,힐러,생존왕,미즈키,53.2,16.5,2.129,S
2026-07-21_1613,저티어,힐러,의무관,모이라,51.0,30.5,1.969,A
2026-07-21_1613,저티어,힐러,전술가,루시우,46.7,5.5,-1.037,B
2026-07-21_1613,저티어,힐러,의무관,메르시,44.9,8.0,-1.629,B
2026-07-21_1613,저티어,힐러,의무관,라이프위버,45.0,5.5,-1.717,C
2026-07-21_1613,저티어,힐러,전술가,바티스트,44.7,4.0,-1.914,D
2026-07-21_1613,중티어,탱커,개시자,둠피스트,51.1,8.1,1.213,S
2026-07-21_1613,중티어,탱커,강건한 자,라인하르트,49.9,9.2,0.838,A
2026-07-21_1613,중티어,탱커,강건한 자,도미나,51.0,3.0,0.686,A
2026-07-21_1613,중티어,탱커,강건한 자,라마트라,49.1,6.4,0.251,B
2026-07-21_1613,중티어,탱커,투사,마우가,47.8,7.4,-0.174,B
2026-07-21_1613,중티어,탱커,개시자,레킹볼,48.6,4.0,-0.178,C
2026-07-21_1613,중티어,탱커,개시자,D.VA,47.1,5.5,-0.635,C
2026-07-21_1613,중티어,탱커,투사,로드호그,43.2,6.7,-2.081,D
2026-07-21_1613,중티어,딜러,측면 공격가,겐지,52.3,15.3,1.985,S
2026-07-21_1613,중티어,딜러,측면 공격가,벤데타,51.5,3.7,0.858,A
2026-07-21_1613,중티어,딜러,전문가,메이,50.6,8.6,0.839,B
2026-07-21_1613,중티어,딜러,측면 공격가,리퍼,49.3,10.0,0.416,C
2026-07-21_1613,중티어,딜러,전문가,바스티온,47.5,5.5,-0.617,D
2026-07-21_1613,중티어,힐러,생존왕,미즈키,51.1,11.3,1.304,S
2026-07-21_1613,중티어,힐러,의무관,모이라,49.7,17.6,1.225,A
2026-07-21_1613,중티어,힐러,전술가,루시우,48.3,3.2,-0.435,B
2026-07-21_1613,중티어,힐러,의무관,메르시,47.4,4.9,-0.665,B
2026-07-21_1613,중티어,힐러,전술가,바티스트,45.1,4.6,-1.608,C
2026-07-21_1613,중티어,힐러,의무관,라이프위버,44.4,5.5,-1.82,D
2026-07-21_1613,고티어,탱커,개시자,둠피스트,49.0,11.1,0.743,S
2026-07-21_1613,고티어,탱커,강건한 자,도미나,50.6,2.5,0.498,A
2026-07-21_1613,고티어,탱커,강건한 자,라마트라,49.2,5.5,0.247,A
2026-07-21_1613,고티어,탱커,개시자,레킹볼,47.8,4.7,-0.396,B
2026-07-21_1613,고티어,탱커,강건한 자,라인하르트,46.2,6.0,-0.902,B
2026-07-21_1613,고티어,탱커,개시자,D.VA,46.5,4.8,-0.906,C
2026-07-21_1613,고티어,탱커,투사,마우가,44.7,7.2,-1.378,C
2026-07-21_1613,고티어,탱커,투사,로드호그,42.5,4.8,-2.506,D
2026-07-21_1613,고티어,딜러,측면 공격가,겐지,50.3,14.4,1.269,S
2026-07-21_1613,고티어,딜러,측면 공격가,리퍼,51.0,10.3,1.222,A
2026-07-21_1613,고티어,딜러,측면 공격가,벤데타,50.0,3.7,0.295,B
2026-07-21_1613,고티어,딜러,전문가,메이,49.2,6.1,0.167,C
2026-07-21_1613,고티어,딜러,전문가,바스티온,48.1,3.1,-0.513,D
2026-07-21_1613,고티어,힐러,생존왕,미즈키,52.8,12.3,2.23,S
2026-07-21_1613,고티어,힐러,의무관,모이라,48.2,11.8,0.345,A
2026-07-21_1613,고티어,힐러,전술가,루시우,49.4,4.7,0.184,B
2026-07-21_1613,고티어,힐러,전술가,바티스트,46.6,4.0,-0.999,B
2026-07-21_1613,고티어,힐러,의무관,메르시,44.9,3.7,-1.706,C
2026-07-21_1613,고티어,힐러,의무관,라이프위버,38.7,3.4,-4.213,D
