날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-08-12_0439,저티어,탱커,강건한 자,라인하르트,53.2,9.4,2.083,S
2026-08-12_0439,저티어,탱커,강건한 자,도미나,51.9,5.1,1.196,A
2026-08-12_0439,저티어,탱커,강건한 자,라마트라,50.6,7.4,0.872,A
2026-08-12_0439,저티어,탱커,개시자,둠피스트,50.1,9.0,0.809,B
2026-08-12_0439,저티어,탱커,투사,마우가,49.8,7.9,0.595,B
2026-08-12_0439,저티어,탱커,개시자,레킹볼,49.4,3.6,0.067,C
2026-08-12_0439,저티어,탱커,투사,로드호그,45.8,7.0,-1.082,C
2026-08-12_0439,저티어,탱커,개시자,D.VA,45.2,6.8,-1.339,D
2026-08-12_0439,저티어,딜러,전문가,메이,54.2,7.0,2.155,S
2026-08-12_0439,저티어,딜러,측면 공격가,겐지,51.6,11.4,1.413,A
2026-08-12_0439,저티어,딜러,측면 공격가,리퍼,52.1,8.1,1.389,B
2026-08-12_0439,저티어,딜러,전문가,바스티온,48.5,8.9,0.003,C
2026-08-12_0439,저티어,힐러,생존왕,미즈키,52.8,15.5,2.042,S
2026-08-12_0439,저티어,힐러,의무관,모이라,51.8,18.7,1.833,A
2026-08-12_0439,저티어,힐러,전술가,루시우,50.9,5.4,0.681,B
2026-08-12_0439,저티어,힐러,의무관,라이프위버,48.6,8.4,-0.06,B
2026-08-12_0439,저티어,힐러,전술가,바티스트,46.9,4.9,-0.948,C
2026-08-12_0439,저티어,힐러,의무관,메르시,46.2,7.6,-1.068,D
2026-08-12_0439,중티어,탱커,강건한 자,라인하르트,53.2,9.4,2.083,S
2026-08-12_0439,중티어,탱커,강건한 자,도미나,51.9,5.1,1.196,A
2026-08-12_0439,중티어,탱커,강건한 자,라마트라,50.6,7.4,0.872,A
2026-08-12_0439,중티어,탱커,개시자,둠피스트,50.1,9.0,0.809,B
2026-08-12_0439,중티어,탱커,투사,마우가,49.8,7.9,0.595,B
2026-08-12_0439,중티어,탱커,개시자,레킹볼,49.4,3.6,0.067,C
2026-08-12_0439,중티어,탱커,투사,로드호그,45.8,7.0,-1.082,C
2026-08-12_0439,중티어,탱커,개시자,D.VA,45.2,6.8,-1.339,D
2026-08-12_0439,중티어,딜러,전문가,메이,54.2,7.0,2.155,S
2026-08-12_0439,중티어,딜러,측면 공격가,겐지,51.6,11.4,1.413,A
2026-08-12_0439,중티어,딜러,측면 공격가,리퍼,52.1,8.1,1.389,B
2026-08-12_0439,중티어,딜러,전문가,바스티온,48.5,8.9,0.003,C
2026-08-12_0439,중티어,힐러,생존왕,미즈키,52.8,15.5,2.042,S
2026-08-12_0439,중티어,힐러,의무관,모이라,51.8,18.7,1.833,A
2026-08-12_0439,중티어,힐러,전술가,루시우,50.9,5.4,0.681,B
2026-08-12_0439,중티어,힐러,의무관,라이프위버,48.6,8.4,-0.06,B
2026-08-12_0439,중티어,힐러,전술가,바티스트,46.9,4.9,-0.948,C
2026-08-12_0439,중티어,힐러,의무관,메르시,46.2,7.6,-1.068,D
2026-08-12_0439,고티어,탱커,강건한 자,라인하르트,53.2,9.4,2.083,S
2026-08-12_0439,고티어,탱커,강건한 자,도미나,51.9,5.1,1.196,A
2026-08-12_0439,고티어,탱커,강건한 자,라마트라,50.6,7.4,0.872,A
2026-08-12_0439,고티어,탱커,개시자,둠피스트,50.1,9.0,0.809,B
2026-08-12_0439,고티어,탱커,투사,마우가,49.8,7.9,0.595,B
2026-08-12_0439,고티어,탱커,개시자,레킹볼,49.4,3.6,0.067,C
2026-08-12_0439,고티어,탱커,투사,로드호그,45.8,7.0,-1.082,C
2026-08-12_0439,고티어,탱커,개시자,D.VA,45.2,6.8,-1.339,D
2026-08-12_0439,고티어,딜러,전문가,메이,54.2,7.0,2.155,S
2026-08-12_0439,고티어,딜러,측면 공격가,겐지,51.6,11.4,1.413,A
2026-08-12_0439,고티어,딜러,측면 공격가,리퍼,52.1,8.1,1.389,B
2026-08-12_0439,고티어,딜러,전문가,바스티온,48.5,8.9,0.003,C
2026-08-12_0439,고티어,힐러,생존왕,미즈키,52.8,15.5,2.042,S
2026-08-12_0439,고티어,힐러,의무관,모이라,51.8,18.7,1.833,A
2026-08-12_0439,고티어,힐러,전술가,루시우,50.9,5.4,0.681,B
2026-08-12_0439,고티어,힐러,의무관,라이프위버,48.6,8.4,-0.06,B
2026-08-12_0439,고티어,힐러,전술가,바티스트,46.9,4.9,-0.948,C
2026-08-12_0439,고티어,힐러,의무관,메르시,46.2,7.6,-1.068,D
