날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-09-10_0735,저티어,탱커,개시자,둠피스트,78.7,9.4,12.008,S
2026-09-10_0735,저티어,탱커,개시자,레킹볼,72.2,9.9,9.436,A
2026-09-10_0735,저티어,탱커,개시자,D.VA,71.6,9.6,9.179,A
2026-09-10_0735,저티어,탱커,투사,로드호그,57.2,7.4,3.295,B
2026-09-10_0735,저티어,탱커,강건한 자,라인하르트,53.6,13.9,2.22,B
2026-09-10_0735,저티어,탱커,강건한 자,라마트라,49.6,16.2,0.749,C
2026-09-10_0735,저티어,탱커,강건한 자,도미나,38.0,11.0,-4.182,C
2026-09-10_0735,저티어,탱커,투사,마우가,32.0,8.1,-6.745,D
2026-09-10_0735,저티어,딜러,측면 공격가,겐지,59.0,7.6,4.041,S
2026-09-10_0735,저티어,딜러,측면 공격가,리퍼,58.0,9.5,3.751,A
2026-09-10_0735,저티어,딜러,전문가,메이,55.2,9.5,2.631,B
2026-09-10_0735,저티어,딜러,전문가,바스티온,47.3,14.8,-0.222,C
2026-09-10_0735,저티어,힐러,전술가,바티스트,80.2,6.9,12.371,S
2026-09-10_0735,저티어,힐러,의무관,메르시,70.0,8.1,8.342,A
2026-09-10_0735,저티어,힐러,의무관,모이라,54.7,28.1,3.066,B
2026-09-10_0735,저티어,힐러,의무관,라이프위버,56.1,10.0,2.862,B
2026-09-10_0735,저티어,힐러,생존왕,미즈키,53.1,20.1,2.088,C
2026-09-10_0735,저티어,힐러,전술가,루시우,46.7,12.1,-0.809,D
2026-09-10_0735,중티어,탱커,강건한 자,도미나,59.0,2.8,3.892,S
2026-09-10_0735,중티어,탱커,강건한 자,라인하르트,50.2,9.5,1.071,A
2026-09-10_0735,중티어,탱커,개시자,D.VA,50.9,4.7,0.85,A
2026-09-10_0735,중티어,탱커,개시자,둠피스트,48.6,9.4,0.421,B
2026-09-10_0735,중티어,탱커,투사,마우가,45.1,3.6,-1.584,B
2026-09-10_0735,중티어,탱커,강건한 자,라마트라,41.7,5.7,-2.725,C
2026-09-10_0735,중티어,탱커,개시자,레킹볼,41.4,5.7,-2.845,C
2026-09-10_0735,중티어,탱커,투사,로드호그,35.5,4.6,-5.32,D
2026-09-10_0735,중티어,딜러,측면 공격가,겐지,49.9,13.6,0.762,S
2026-09-10_0735,중티어,딜러,전문가,메이,48.3,7.6,-0.232,A
2026-09-10_0735,중티어,딜러,측면 공격가,리퍼,46.5,11.6,-0.716,B
2026-09-10_0735,중티어,딜러,전문가,바스티온,46.5,7.9,-0.934,C
2026-09-10_0735,중티어,힐러,의무관,모이라,55.2,26.8,3.672,S
2026-09-10_0735,중티어,힐러,생존왕,미즈키,53.1,11.3,1.911,A
2026-09-10_0735,중티어,힐러,전술가,루시우,54.1,2.3,1.777,B
2026-09-10_0735,중티어,힐러,전술가,바티스트,46.9,8.9,-0.711,B
2026-09-10_0735,중티어,힐러,의무관,메르시,45.7,4.4,-1.459,C
2026-09-10_0735,중티어,힐러,의무관,라이프위버,35.6,6.9,-5.35,D
2026-09-10_0735,고티어,탱커,개시자,둠피스트,61.0,19.8,5.93,S
2026-09-10_0735,고티어,탱커,강건한 자,라마트라,60.8,6.1,4.791,A
2026-09-10_0735,고티어,탱커,강건한 자,라인하르트,49.9,11.1,0.818,A
2026-09-10_0735,고티어,탱커,투사,로드호그,49.2,8.1,0.306,B
2026-09-10_0735,고티어,탱커,투사,마우가,40.8,5.1,-3.286,B
2026-09-10_0735,고티어,탱커,개시자,D.VA,36.6,6.6,-4.85,C
2026-09-10_0735,고티어,탱커,개시자,레킹볼,31.5,3.7,-7.114,C
2026-09-10_0735,고티어,탱커,강건한 자,도미나,24.8,1.6,-9.956,D
2026-09-10_0735,고티어,딜러,전문가,메이,70.2,12.9,8.709,S
2026-09-10_0735,고티어,딜러,전문가,바스티온,60.6,6.7,4.567,A
2026-09-10_0735,고티어,딜러,측면 공격가,리퍼,57.5,12.6,3.615,B
2026-09-10_0735,고티어,딜러,측면 공격가,겐지,48.3,17.0,0.149,C
2026-09-10_0735,고티어,힐러,전술가,루시우,61.1,9.4,4.911,S
2026-09-10_0735,고티어,힐러,의무관,라이프위버,50.0,9.1,0.456,A
2026-09-10_0735,고티어,힐러,전술가,바티스트,41.6,9.0,-2.909,B
2026-09-10_0735,고티어,힐러,의무관,모이라,37.7,20.5,-3.893,C
2026-09-10_0735,고티어,힐러,생존왕,미즈키,30.6,11.9,-7.164,D
