날짜,랭크그룹,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-03-16_07,저티어,측면 공격가,겐지,52.37,10.07,1.548,S
2026-03-16_07,저티어,강건한 자,도미나,53.13,8.57,1.881,S
2026-03-16_07,저티어,강건한 자,라인하르트,50.13,8.1,0.646,B
2026-03-16_07,저티어,강건한 자,라마트라,47.5,7.87,-0.423,C
2026-03-16_07,저티어,개시자,둠피스트,51.43,4.6,1.325,S
2026-03-16_07,저티어,개시자,레킹볼,51.0,2.73,0.847,B
2026-03-16_07,저티어,의무관,라이프위버,44.1,3.97,-1.76,S
2026-03-16_07,저티어,투사,로드호그,47.53,6.07,-0.388,S
2026-03-16_07,저티어,전술가,루시우,47.3,6.13,-0.48,S
2026-03-16_07,중티어,측면 공격가,겐지,51.7,16.15,1.28,S
2026-03-16_07,중티어,강건한 자,도미나,54.25,7.4,2.43,S
2026-03-16_07,중티어,강건한 자,라인하르트,46.4,6.55,-0.794,B
2026-03-16_07,중티어,강건한 자,라마트라,45.95,4.3,-1.196,C
2026-03-16_07,중티어,개시자,둠피스트,49.3,8.15,0.506,S
2026-03-16_07,중티어,개시자,레킹볼,48.35,4.3,-0.246,B
2026-03-16_07,중티어,의무관,라이프위버,40.5,3.5,-3.2,S
2026-03-16_07,중티어,투사,로드호그,47.55,7.65,-0.38,S
2026-03-16_07,중티어,전술가,루시우,48.65,4.4,0.06,S
2026-03-16_07,고티어,측면 공격가,겐지,51.45,13.65,1.18,S
2026-03-16_07,고티어,강건한 자,도미나,53.5,7.5,2.13,S
2026-03-16_07,고티어,강건한 자,라인하르트,46.0,6.5,-0.968,B
2026-03-16_07,고티어,강건한 자,라마트라,45.7,4.5,-1.282,C
2026-03-16_07,고티어,개시자,둠피스트,48.7,7.9,0.241,S
2026-03-16_07,고티어,개시자,레킹볼,49.05,4.55,0.059,B
2026-03-16_07,고티어,의무관,라이프위버,40.4,3.3,-3.24,S
2026-03-16_07,고티어,투사,로드호그,48.2,6.85,-0.12,S
2026-03-16_07,고티어,전술가,루시우,46.85,5.3,-0.66,S
