날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-08-14_0440,저티어,탱커,강건한 자,라인하르트,54.7,5.7,2.732,S
2026-08-14_0440,저티어,탱커,개시자,둠피스트,54.4,5.4,2.567,A
2026-08-14_0440,저티어,탱커,강건한 자,라마트라,52.6,4.6,1.728,A
2026-08-14_0440,저티어,탱커,투사,마우가,52.5,4.5,1.673,B
2026-08-14_0440,저티어,탱커,강건한 자,도미나,52.0,2.7,1.204,B
2026-08-14_0440,저티어,탱커,개시자,레킹볼,51.8,2.2,1.049,C
2026-08-14_0440,저티어,탱커,투사,로드호그,47.3,3.0,-0.631,C
2026-08-14_0440,저티어,탱커,개시자,D.VA,46.7,4.0,-0.722,D
2026-08-14_0440,저티어,딜러,전문가,메이,53.1,6.7,1.65,S
2026-08-14_0440,저티어,딜러,측면 공격가,리퍼,52.5,8.5,1.52,A
2026-08-14_0440,저티어,딜러,측면 공격가,겐지,50.9,14.0,1.217,B
2026-08-14_0440,저티어,딜러,전문가,바스티온,49.6,10.0,0.452,C
2026-08-14_0440,저티어,힐러,의무관,모이라,51.8,18.2,1.85,S
2026-08-14_0440,저티어,힐러,생존왕,미즈키,50.9,14.4,1.254,A
2026-08-14_0440,저티어,힐러,전술가,루시우,48.9,5.5,-0.099,B
2026-08-14_0440,저티어,힐러,의무관,라이프위버,47.5,9.2,-0.429,B
2026-08-14_0440,저티어,힐러,전술가,바티스트,46.1,5.5,-1.219,C
2026-08-14_0440,저티어,힐러,의무관,메르시,44.4,5.2,-1.917,D
2026-08-14_0440,중티어,탱커,강건한 자,라인하르트,54.7,5.7,2.732,S
2026-08-14_0440,중티어,탱커,개시자,둠피스트,54.4,5.4,2.567,A
2026-08-14_0440,중티어,탱커,강건한 자,라마트라,52.6,4.6,1.728,A
2026-08-14_0440,중티어,탱커,투사,마우가,52.5,4.5,1.673,B
2026-08-14_0440,중티어,탱커,강건한 자,도미나,52.0,2.7,1.204,B
2026-08-14_0440,중티어,탱커,개시자,레킹볼,51.8,2.2,1.049,C
2026-08-14_0440,중티어,탱커,투사,로드호그,47.3,3.0,-0.631,C
2026-08-14_0440,중티어,탱커,개시자,D.VA,46.7,4.0,-0.722,D
2026-08-14_0440,중티어,딜러,전문가,메이,53.1,6.7,1.65,S
2026-08-14_0440,중티어,딜러,측면 공격가,리퍼,52.5,8.5,1.52,A
2026-08-14_0440,중티어,딜러,측면 공격가,겐지,50.9,14.0,1.217,B
2026-08-14_0440,중티어,딜러,전문가,바스티온,49.6,10.0,0.452,C
2026-08-14_0440,중티어,힐러,의무관,모이라,51.8,18.2,1.85,S
2026-08-14_0440,중티어,힐러,생존왕,미즈키,50.9,14.4,1.254,A
2026-08-14_0440,중티어,힐러,전술가,루시우,48.9,5.5,-0.099,B
2026-08-14_0440,중티어,힐러,의무관,라이프위버,47.5,9.2,-0.429,B
2026-08-14_0440,중티어,힐러,전술가,바티스트,46.1,5.5,-1.219,C
2026-08-14_0440,중티어,힐러,의무관,메르시,44.4,5.2,-1.917,D
2026-08-14_0440,고티어,탱커,강건한 자,라인하르트,54.7,5.7,2.732,S
2026-08-14_0440,고티어,탱커,개시자,둠피스트,54.4,5.4,2.567,A
2026-08-14_0440,고티어,탱커,강건한 자,라마트라,52.6,4.6,1.728,A
2026-08-14_0440,고티어,탱커,투사,마우가,52.5,4.5,1.673,B
2026-08-14_0440,고티어,탱커,강건한 자,도미나,52.0,2.7,1.204,B
2026-08-14_0440,고티어,탱커,개시자,레킹볼,51.8,2.2,1.049,C
2026-08-14_0440,고티어,탱커,투사,로드호그,47.3,3.0,-0.631,C
2026-08-14_0440,고티어,탱커,개시자,D.VA,46.7,4.0,-0.722,D
2026-08-14_0440,고티어,딜러,전문가,메이,53.1,6.7,1.65,S
2026-08-14_0440,고티어,딜러,측면 공격가,리퍼,52.5,8.5,1.52,A
2026-08-14_0440,고티어,딜러,측면 공격가,겐지,50.9,14.0,1.217,B
2026-08-14_0440,고티어,딜러,전문가,바스티온,49.6,10.0,0.452,C
2026-08-14_0440,고티어,힐러,의무관,모이라,51.8,18.2,1.85,S
2026-08-14_0440,고티어,힐러,생존왕,미즈키,50.9,14.4,1.254,A
2026-08-14_0440,고티어,힐러,전술가,루시우,48.9,5.5,-0.099,B
2026-08-14_0440,고티어,힐러,의무관,라이프위버,47.5,9.2,-0.429,B
2026-08-14_0440,고티어,힐러,전술가,바티스트,46.1,5.5,-1.219,C
2026-08-14_0440,고티어,힐러,의무관,메르시,44.4,5.2,-1.917,D
