날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-05-29_1759,저티어,탱커,강건한 자,도미나,51.8,6.6,1.302,S
2026-05-29_1759,저티어,탱커,강건한 자,라마트라,50.6,9.5,1.078,A
2026-05-29_1759,저티어,탱커,개시자,둠피스트,51.7,3.5,0.989,A
2026-05-29_1759,저티어,탱커,강건한 자,라인하르트,50.6,8.1,0.955,B
2026-05-29_1759,저티어,탱커,투사,마우가,48.5,11.1,0.379,B
2026-05-29_1759,저티어,탱커,개시자,D.VA,47.7,8.6,-0.161,C
2026-05-29_1759,저티어,탱커,개시자,레킹볼,48.9,2.2,-0.246,C
2026-05-29_1759,저티어,탱커,투사,로드호그,44.1,4.8,-1.936,D
2026-05-29_1759,저티어,딜러,측면 공격가,리퍼,53.1,15.2,2.244,S
2026-05-29_1759,저티어,딜러,측면 공격가,겐지,51.6,8.4,1.195,A
2026-05-29_1759,저티어,딜러,전문가,메이,50.9,5.5,0.723,B
2026-05-29_1759,저티어,딜러,전문가,바스티온,47.6,13.6,-0.061,C
2026-05-29_1759,저티어,딜러,측면 공격가,벤데타,49.2,2.7,-0.142,D
2026-05-29_1759,저티어,힐러,생존왕,미즈키,51.7,11.5,1.341,S
2026-05-29_1759,저티어,힐러,의무관,모이라,49.5,22.8,1.111,A
2026-05-29_1759,저티어,힐러,의무관,라이프위버,48.3,5.9,-0.341,B
2026-05-29_1759,저티어,힐러,전술가,루시우,47.2,7.5,-0.689,B
2026-05-29_1759,저티어,힐러,전술가,바티스트,46.0,5.7,-1.272,C
2026-05-29_1759,저티어,힐러,의무관,메르시,45.2,9.2,-1.391,D
2026-05-29_1759,중티어,탱커,개시자,둠피스트,52.3,8.1,1.685,S
2026-05-29_1759,중티어,탱커,강건한 자,도미나,52.8,3.8,1.479,A
2026-05-29_1759,중티어,탱커,개시자,D.VA,49.2,6.6,0.304,A
2026-05-29_1759,중티어,탱커,투사,마우가,47.2,10.6,-0.118,B
2026-05-29_1759,중티어,탱커,강건한 자,라인하르트,48.0,7.1,-0.129,B
2026-05-29_1759,중티어,탱커,강건한 자,라마트라,47.6,4.8,-0.506,C
2026-05-29_1759,중티어,탱커,개시자,레킹볼,47.7,3.5,-0.589,C
2026-05-29_1759,중티어,탱커,투사,로드호그,42.9,6.3,-2.245,D
2026-05-29_1759,중티어,딜러,측면 공격가,리퍼,52.6,15.0,2.04,S
2026-05-29_1759,중티어,딜러,측면 공격가,겐지,52.1,16.3,1.927,A
2026-05-29_1759,중티어,딜러,전문가,메이,48.6,5.7,-0.18,B
2026-05-29_1759,중티어,딜러,전문가,바스티온,47.7,6.2,-0.507,C
2026-05-29_1759,중티어,딜러,측면 공격가,벤데타,47.1,1.8,-1.04,D
2026-05-29_1759,중티어,힐러,생존왕,미즈키,48.9,7.6,0.236,S
2026-05-29_1759,중티어,힐러,의무관,메르시,47.9,5.7,-0.333,A
2026-05-29_1759,중티어,힐러,의무관,모이라,46.7,10.0,-0.431,B
2026-05-29_1759,중티어,힐러,전술가,루시우,47.3,4.2,-0.707,B
2026-05-29_1759,중티어,힐러,의무관,라이프위버,46.7,6.6,-0.733,C
2026-05-29_1759,중티어,힐러,전술가,바티스트,46.2,6.4,-0.951,D
2026-05-29_1759,고티어,탱커,강건한 자,도미나,53.9,2.7,1.849,S
2026-05-29_1759,고티어,탱커,개시자,둠피스트,49.9,11.9,1.232,A
2026-05-29_1759,고티어,탱커,개시자,D.VA,49.5,5.2,0.356,A
2026-05-29_1759,고티어,탱커,개시자,레킹볼,47.2,4.3,-0.66,B
2026-05-29_1759,고티어,탱커,강건한 자,라마트라,46.6,3.0,-1.039,B
2026-05-29_1759,고티어,탱커,투사,마우가,44.6,8.6,-1.241,C
2026-05-29_1759,고티어,탱커,강건한 자,라인하르트,42.7,4.3,-2.46,C
2026-05-29_1759,고티어,탱커,투사,로드호그,42.1,4.9,-2.636,D
2026-05-29_1759,고티어,딜러,측면 공격가,리퍼,53.2,15.4,2.465,S
2026-05-29_1759,고티어,딜러,측면 공격가,겐지,49.2,14.2,0.772,A
2026-05-29_1759,고티어,딜러,전문가,바스티온,49.3,4.2,0.043,B
2026-05-29_1759,고티어,딜러,전문가,메이,48.3,4.0,-0.372,C
2026-05-29_1759,고티어,딜러,측면 공격가,벤데타,46.5,1.2,-1.308,D
2026-05-29_1759,고티어,힐러,생존왕,미즈키,48.2,6.4,0.016,S
2026-05-29_1759,고티어,힐러,의무관,메르시,47.8,4.5,-0.362,A
2026-05-29_1759,고티어,힐러,전술가,바티스트,46.7,6.8,-0.538,B
2026-05-29_1759,고티어,힐러,전술가,루시우,46.9,5.1,-0.653,B
2026-05-29_1759,고티어,힐러,의무관,모이라,44.9,4.2,-1.557,C
2026-05-29_1759,고티어,힐러,의무관,라이프위버,42.7,4.3,-2.425,D
