날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-06-04_0713,저티어,탱커,강건한 자,도미나,52.8,6.4,1.633,S
2026-06-04_0713,저티어,탱커,개시자,둠피스트,51.6,9.6,1.409,A
2026-06-04_0713,저티어,탱커,강건한 자,라인하르트,51.9,7.8,1.385,A
2026-06-04_0713,저티어,탱커,투사,마우가,49.7,11.9,0.834,B
2026-06-04_0713,저티어,탱커,강건한 자,라마트라,49.9,6.9,0.513,B
2026-06-04_0713,저티어,탱커,개시자,레킹볼,49.5,3.3,0.064,C
2026-06-04_0713,저티어,탱커,개시자,D.VA,46.5,7.8,-0.775,C
2026-06-04_0713,저티어,탱커,투사,로드호그,45.0,6.2,-1.503,D
2026-06-04_0713,저티어,딜러,측면 공격가,리퍼,53.7,11.9,2.32,S
2026-06-04_0713,저티어,딜러,전문가,메이,53.4,5.3,1.734,A
2026-06-04_0713,저티어,딜러,측면 공격가,겐지,50.8,12.8,1.224,B
2026-06-04_0713,저티어,딜러,전문가,바스티온,48.3,9.1,-0.038,C
2026-06-04_0713,저티어,딜러,측면 공격가,벤데타,48.9,3.4,-0.2,D
2026-06-04_0713,저티어,힐러,생존왕,미즈키,51.8,12.0,1.505,S
2026-06-04_0713,저티어,힐러,의무관,모이라,49.9,12.7,0.791,A
2026-06-04_0713,저티어,힐러,의무관,라이프위버,50.4,9.1,0.756,B
2026-06-04_0713,저티어,힐러,전술가,루시우,50.1,6.5,0.465,B
2026-06-04_0713,저티어,힐러,의무관,메르시,46.9,9.0,-0.651,C
2026-06-04_0713,저티어,힐러,전술가,바티스트,47.3,5.7,-0.707,D
2026-06-04_0713,중티어,탱커,강건한 자,도미나,52.8,6.4,1.633,S
2026-06-04_0713,중티어,탱커,개시자,둠피스트,51.6,9.6,1.409,A
2026-06-04_0713,중티어,탱커,강건한 자,라인하르트,51.9,7.8,1.385,A
2026-06-04_0713,중티어,탱커,투사,마우가,49.7,11.9,0.834,B
2026-06-04_0713,중티어,탱커,강건한 자,라마트라,49.9,6.9,0.513,B
2026-06-04_0713,중티어,탱커,개시자,레킹볼,49.5,3.3,0.064,C
2026-06-04_0713,중티어,탱커,개시자,D.VA,46.5,7.8,-0.775,C
2026-06-04_0713,중티어,탱커,투사,로드호그,45.0,6.2,-1.503,D
2026-06-04_0713,중티어,딜러,측면 공격가,리퍼,53.7,11.9,2.32,S
2026-06-04_0713,중티어,딜러,전문가,메이,53.4,5.3,1.734,A
2026-06-04_0713,중티어,딜러,측면 공격가,겐지,50.8,12.8,1.224,B
2026-06-04_0713,중티어,딜러,전문가,바스티온,48.3,9.1,-0.038,C
2026-06-04_0713,중티어,딜러,측면 공격가,벤데타,48.9,3.4,-0.2,D
2026-06-04_0713,중티어,힐러,생존왕,미즈키,51.8,12.0,1.505,S
2026-06-04_0713,중티어,힐러,의무관,모이라,49.9,12.7,0.791,A
2026-06-04_0713,중티어,힐러,의무관,라이프위버,50.4,9.1,0.756,B
2026-06-04_0713,중티어,힐러,전술가,루시우,50.1,6.5,0.465,B
2026-06-04_0713,중티어,힐러,의무관,메르시,46.9,9.0,-0.651,C
2026-06-04_0713,중티어,힐러,전술가,바티스트,47.3,5.7,-0.707,D
2026-06-04_0713,고티어,탱커,강건한 자,도미나,52.8,6.4,1.633,S
2026-06-04_0713,고티어,탱커,개시자,둠피스트,51.6,9.6,1.409,A
2026-06-04_0713,고티어,탱커,강건한 자,라인하르트,51.9,7.8,1.385,A
2026-06-04_0713,고티어,탱커,투사,마우가,49.7,11.9,0.834,B
2026-06-04_0713,고티어,탱커,강건한 자,라마트라,49.9,6.9,0.513,B
2026-06-04_0713,고티어,탱커,개시자,레킹볼,49.5,3.3,0.064,C
2026-06-04_0713,고티어,탱커,개시자,D.VA,46.5,7.8,-0.775,C
2026-06-04_0713,고티어,탱커,투사,로드호그,45.0,6.2,-1.503,D
2026-06-04_0713,고티어,딜러,측면 공격가,리퍼,53.7,11.9,2.32,S
2026-06-04_0713,고티어,딜러,전문가,메이,53.4,5.3,1.734,A
2026-06-04_0713,고티어,딜러,측면 공격가,겐지,50.8,12.8,1.224,B
2026-06-04_0713,고티어,딜러,전문가,바스티온,48.3,9.1,-0.038,C
2026-06-04_0713,고티어,딜러,측면 공격가,벤데타,48.9,3.4,-0.2,D
2026-06-04_0713,고티어,힐러,생존왕,미즈키,51.8,12.0,1.505,S
2026-06-04_0713,고티어,힐러,의무관,모이라,49.9,12.7,0.791,A
2026-06-04_0713,고티어,힐러,의무관,라이프위버,50.4,9.1,0.756,B
2026-06-04_0713,고티어,힐러,전술가,루시우,50.1,6.5,0.465,B
2026-06-04_0713,고티어,힐러,의무관,메르시,46.9,9.0,-0.651,C
2026-06-04_0713,고티어,힐러,전술가,바티스트,47.3,5.7,-0.707,D
