날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-05-24_0626,저티어,탱커,강건한 자,도미나,52.0,6.7,1.389,S
2026-05-24_0626,저티어,탱커,강건한 자,라마트라,50.6,9.6,1.084,A
2026-05-24_0626,저티어,탱커,강건한 자,라인하르트,50.5,7.9,0.895,A
2026-05-24_0626,저티어,탱커,개시자,둠피스트,51.2,3.4,0.779,B
2026-05-24_0626,저티어,탱커,투사,마우가,48.5,11.6,0.42,B
2026-05-24_0626,저티어,탱커,개시자,D.VA,48.1,8.6,-0.004,C
2026-05-24_0626,저티어,탱커,개시자,레킹볼,49.4,2.2,-0.047,C
2026-05-24_0626,저티어,탱커,투사,로드호그,44.0,4.6,-1.996,D
2026-05-24_0626,저티어,딜러,측면 공격가,리퍼,53.0,15.4,2.222,S
2026-05-24_0626,저티어,딜러,측면 공격가,겐지,51.8,8.4,1.278,A
2026-05-24_0626,저티어,딜러,전문가,메이,51.0,5.4,0.758,B
2026-05-24_0626,저티어,딜러,전문가,바스티온,47.7,13.3,-0.037,C
2026-05-24_0626,저티어,딜러,측면 공격가,벤데타,49.3,2.7,-0.101,D
2026-05-24_0626,저티어,힐러,생존왕,미즈키,51.7,11.5,1.339,S
2026-05-24_0626,저티어,힐러,의무관,모이라,49.3,23.1,1.044,A
2026-05-24_0626,저티어,힐러,의무관,라이프위버,48.0,6.0,-0.456,B
2026-05-24_0626,저티어,힐러,전술가,루시우,46.7,7.5,-0.89,B
2026-05-24_0626,저티어,힐러,전술가,바티스트,46.0,5.7,-1.273,C
2026-05-24_0626,저티어,힐러,의무관,메르시,45.2,9.0,-1.404,D
2026-05-24_0626,중티어,탱커,개시자,둠피스트,52.4,8.1,1.719,S
2026-05-24_0626,중티어,탱커,강건한 자,도미나,52.9,3.9,1.526,A
2026-05-24_0626,중티어,탱커,개시자,D.VA,49.3,6.5,0.329,A
2026-05-24_0626,중티어,탱커,투사,마우가,47.4,11.3,0.019,B
2026-05-24_0626,중티어,탱커,강건한 자,라인하르트,47.9,7.0,-0.184,B
2026-05-24_0626,중티어,탱커,강건한 자,라마트라,47.5,4.8,-0.55,C
2026-05-24_0626,중티어,탱커,개시자,레킹볼,47.7,3.4,-0.601,C
2026-05-24_0626,중티어,탱커,투사,로드호그,42.7,6.2,-2.339,D
2026-05-24_0626,중티어,딜러,측면 공격가,리퍼,52.6,15.2,2.053,S
2026-05-24_0626,중티어,딜러,측면 공격가,겐지,52.0,16.3,1.887,A
2026-05-24_0626,중티어,딜러,전문가,메이,48.2,5.5,-0.353,B
2026-05-24_0626,중티어,딜러,전문가,바스티온,47.6,6.1,-0.553,C
2026-05-24_0626,중티어,딜러,측면 공격가,벤데타,47.1,1.9,-1.033,D
2026-05-24_0626,중티어,힐러,생존왕,미즈키,48.6,7.3,0.09,S
2026-05-24_0626,중티어,힐러,의무관,모이라,47.1,9.9,-0.278,A
2026-05-24_0626,중티어,힐러,의무관,메르시,47.7,5.7,-0.412,B
2026-05-24_0626,중티어,힐러,의무관,라이프위버,46.7,6.7,-0.723,B
2026-05-24_0626,중티어,힐러,전술가,루시우,47.1,4.3,-0.777,C
2026-05-24_0626,중티어,힐러,전술가,바티스트,46.2,6.5,-0.941,D
2026-05-24_0626,고티어,탱커,개시자,둠피스트,50.1,11.8,1.29,S
2026-05-24_0626,고티어,탱커,강건한 자,도미나,52.4,2.7,1.246,A
2026-05-24_0626,고티어,탱커,개시자,D.VA,49.5,5.1,0.34,A
2026-05-24_0626,고티어,탱커,개시자,레킹볼,47.1,4.0,-0.736,B
2026-05-24_0626,고티어,탱커,투사,마우가,45.2,9.5,-0.913,B
2026-05-24_0626,고티어,탱커,강건한 자,라마트라,45.7,3.0,-1.402,C
2026-05-24_0626,고티어,탱커,투사,로드호그,42.9,5.0,-2.31,C
2026-05-24_0626,고티어,탱커,강건한 자,라인하르트,43.0,4.2,-2.355,D
2026-05-24_0626,고티어,딜러,측면 공격가,리퍼,53.6,15.8,2.668,S
2026-05-24_0626,고티어,딜러,측면 공격가,겐지,49.1,14.1,0.736,A
2026-05-24_0626,고티어,딜러,전문가,바스티온,49.4,4.0,0.071,B
2026-05-24_0626,고티어,딜러,전문가,메이,47.0,3.5,-0.928,C
2026-05-24_0626,고티어,딜러,측면 공격가,벤데타,46.2,1.2,-1.427,D
2026-05-24_0626,고티어,힐러,의무관,메르시,48.7,4.8,0.036,S
2026-05-24_0626,고티어,힐러,전술가,바티스트,47.5,7.1,-0.178,A
2026-05-24_0626,고티어,힐러,생존왕,미즈키,47.5,5.4,-0.375,B
2026-05-24_0626,고티어,힐러,전술가,루시우,46.7,5.4,-0.695,B
2026-05-24_0626,고티어,힐러,의무관,모이라,44.2,4.2,-1.834,C
2026-05-24_0626,고티어,힐러,의무관,라이프위버,41.9,4.2,-2.754,D
