날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-03-26_1602,저티어,탱커,강건한 자,도미나,52.4,8.6,1.734,S
2026-03-26_1602,저티어,탱커,개시자,둠피스트,51.8,3.4,1.026,A
2026-03-26_1602,저티어,탱커,강건한 자,라인하르트,50.5,7.7,0.893,A
2026-03-26_1602,저티어,탱커,강건한 자,라마트라,48.4,9.4,0.207,B
2026-03-26_1602,저티어,탱커,개시자,레킹볼,49.7,2.5,0.105,B
2026-03-26_1602,저티어,탱커,개시자,D.VA,47.5,10.5,-0.054,C
2026-03-26_1602,저티어,탱커,투사,로드호그,47.7,6.0,-0.38,C
2026-03-26_1602,저티어,탱커,투사,마우가,47.8,5.2,-0.412,D
2026-03-26_1602,저티어,딜러,측면 공격가,리퍼,52.5,13.6,1.854,S
2026-03-26_1602,저티어,딜러,측면 공격가,벤데타,54.0,2.8,1.776,A
2026-03-26_1602,저티어,딜러,측면 공격가,겐지,51.8,7.9,1.216,B
2026-03-26_1602,저티어,딜러,전문가,메이,51.2,6.9,0.913,C
2026-03-26_1602,저티어,딜러,전문가,바스티온,48.3,16.6,0.362,D
2026-03-26_1602,저티어,힐러,생존왕,미즈키,53.2,18.2,2.19,S
2026-03-26_1602,저티어,힐러,의무관,모이라,49.1,26.4,0.96,A
2026-03-26_1602,저티어,힐러,전술가,루시우,48.0,7.4,-0.43,B
2026-03-26_1602,저티어,힐러,의무관,메르시,45.6,10.3,-1.245,B
2026-03-26_1602,저티어,힐러,전술가,바티스트,44.7,6.1,-1.815,C
2026-03-26_1602,저티어,힐러,의무관,라이프위버,44.1,3.6,-2.18,D
2026-03-26_1602,중티어,탱커,강건한 자,도미나,53.2,7.3,1.986,S
2026-03-26_1602,중티어,탱커,개시자,둠피스트,50.9,7.0,1.037,A
2026-03-26_1602,중티어,탱커,개시자,D.VA,48.8,8.5,0.343,A
2026-03-26_1602,중티어,탱커,강건한 자,라인하르트,48.3,7.2,0.017,B
2026-03-26_1602,중티어,탱커,개시자,레킹볼,48.8,3.7,-0.122,B
2026-03-26_1602,중티어,탱커,투사,로드호그,46.7,7.8,-0.565,C
2026-03-26_1602,중티어,탱커,투사,마우가,47.1,3.5,-0.821,C
2026-03-26_1602,중티어,탱커,강건한 자,라마트라,45.8,4.6,-1.235,D
2026-03-26_1602,중티어,딜러,측면 공격가,겐지,51.4,15.4,1.629,S
2026-03-26_1602,중티어,딜러,측면 공격가,벤데타,52.1,3.5,1.083,A
2026-03-26_1602,중티어,딜러,측면 공격가,리퍼,50.5,11.4,0.992,B
2026-03-26_1602,중티어,딜러,전문가,메이,49.9,6.9,0.439,C
2026-03-26_1602,중티어,딜러,전문가,바스티온,46.5,6.0,-0.983,D
2026-03-26_1602,중티어,힐러,생존왕,미즈키,51.6,15.3,1.695,S
2026-03-26_1602,중티어,힐러,의무관,메르시,49.1,6.9,0.116,A
2026-03-26_1602,중티어,힐러,의무관,모이라,47.6,14.1,0.012,B
2026-03-26_1602,중티어,힐러,전술가,루시우,48.7,4.6,-0.203,B
2026-03-26_1602,중티어,힐러,전술가,바티스트,45.1,7.5,-1.443,C
2026-03-26_1602,중티어,힐러,의무관,라이프위버,43.2,3.8,-2.458,D
2026-03-26_1602,고티어,탱커,강건한 자,도미나,52.5,6.6,1.693,S
2026-03-26_1602,고티어,탱커,개시자,D.VA,49.5,7.0,0.535,A
2026-03-26_1602,고티어,탱커,개시자,둠피스트,48.3,10.3,0.402,A
2026-03-26_1602,고티어,탱커,개시자,레킹볼,47.5,4.9,-0.485,B
2026-03-26_1602,고티어,탱커,투사,마우가,47.7,2.8,-0.626,B
2026-03-26_1602,고티어,탱커,강건한 자,라마트라,46.7,2.6,-1.047,C
2026-03-26_1602,고티어,탱커,투사,로드호그,45.2,6.9,-1.195,C
2026-03-26_1602,고티어,탱커,강건한 자,라인하르트,42.5,4.6,-2.517,D
2026-03-26_1602,고티어,딜러,측면 공격가,겐지,49.6,15.6,1.225,S
2026-03-26_1602,고티어,딜러,측면 공격가,리퍼,50.2,8.1,0.799,A
2026-03-26_1602,고티어,딜러,측면 공격가,벤데타,51.0,3.6,0.72,B
2026-03-26_1602,고티어,딜러,전문가,메이,47.6,4.0,-0.605,C
2026-03-26_1602,고티어,딜러,전문가,바스티온,46.0,2.5,-1.378,D
2026-03-26_1602,고티어,힐러,생존왕,미즈키,50.3,13.0,1.248,S
2026-03-26_1602,고티어,힐러,의무관,메르시,47.9,4.8,-0.424,A
2026-03-26_1602,고티어,힐러,전술가,루시우,47.7,5.5,-0.443,B
2026-03-26_1602,고티어,힐러,의무관,모이라,46.7,6.4,-0.765,B
2026-03-26_1602,고티어,힐러,전술가,바티스트,45.8,9.1,-0.891,C
2026-03-26_1602,고티어,힐러,의무관,라이프위버,38.0,2.7,-4.566,D
