날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-07-09_0637,저티어,탱커,강건한 자,라인하르트,52.1,9.4,1.698,S
2026-07-09_0637,저티어,탱커,개시자,둠피스트,52.4,3.2,1.252,A
2026-07-09_0637,저티어,탱커,강건한 자,도미나,50.5,6.4,0.784,A
2026-07-09_0637,저티어,탱커,강건한 자,라마트라,48.9,9.6,0.436,B
2026-07-09_0637,저티어,탱커,개시자,레킹볼,49.4,2.1,-0.048,B
2026-07-09_0637,저티어,탱커,투사,마우가,47.9,8.4,-0.073,C
2026-07-09_0637,저티어,탱커,개시자,D.VA,46.2,8.0,-0.79,C
2026-07-09_0637,저티어,탱커,투사,로드호그,45.7,5.5,-1.218,D
2026-07-09_0637,저티어,딜러,전문가,메이,53.2,8.5,1.896,S
2026-07-09_0637,저티어,딜러,측면 공격가,겐지,52.4,7.3,1.489,A
2026-07-09_0637,저티어,딜러,측면 공격가,리퍼,49.8,9.5,0.608,B
2026-07-09_0637,저티어,딜러,측면 공격가,벤데타,50.3,2.5,0.301,C
2026-07-09_0637,저티어,딜러,전문가,바스티온,47.8,13.6,0.106,D
2026-07-09_0637,저티어,힐러,생존왕,미즈키,53.6,18.7,2.358,S
2026-07-09_0637,저티어,힐러,의무관,모이라,51.4,31.2,2.092,A
2026-07-09_0637,저티어,힐러,전술가,루시우,45.7,5.0,-1.474,B
2026-07-09_0637,저티어,힐러,의무관,라이프위버,45.5,5.4,-1.535,B
2026-07-09_0637,저티어,힐러,전술가,바티스트,45.6,4.5,-1.539,C
2026-07-09_0637,저티어,힐러,의무관,메르시,44.4,8.5,-1.823,D
2026-07-09_0637,중티어,탱커,개시자,둠피스트,51.7,8.4,1.486,S
2026-07-09_0637,중티어,탱커,강건한 자,라인하르트,50.8,9.6,1.242,A
2026-07-09_0637,중티어,탱커,강건한 자,도미나,51.8,3.6,1.066,A
2026-07-09_0637,중티어,탱커,투사,마우가,47.1,6.9,-0.498,B
2026-07-09_0637,중티어,탱커,개시자,레킹볼,47.6,4.2,-0.557,B
2026-07-09_0637,중티어,탱커,개시자,D.VA,47.0,5.7,-0.653,C
2026-07-09_0637,중티어,탱커,강건한 자,라마트라,46.5,4.9,-0.93,C
2026-07-09_0637,중티어,탱커,투사,로드호그,43.1,6.7,-2.117,D
2026-07-09_0637,중티어,딜러,측면 공격가,겐지,52.2,13.6,1.923,S
2026-07-09_0637,중티어,딜러,전문가,메이,51.1,8.3,1.077,A
2026-07-09_0637,중티어,딜러,측면 공격가,리퍼,48.0,9.5,-0.071,B
2026-07-09_0637,중티어,딜러,측면 공격가,벤데타,49.2,2.2,-0.151,C
2026-07-09_0637,중티어,딜러,전문가,바스티온,47.4,5.5,-0.618,D
2026-07-09_0637,중티어,힐러,생존왕,미즈키,52.7,12.9,1.973,S
2026-07-09_0637,중티어,힐러,의무관,모이라,50.9,20.6,1.786,A
2026-07-09_0637,중티어,힐러,의무관,메르시,46.2,5.0,-1.174,B
2026-07-09_0637,중티어,힐러,전술가,루시우,46.1,2.7,-1.373,B
2026-07-09_0637,중티어,힐러,전술가,바티스트,45.1,4.9,-1.621,C
2026-07-09_0637,중티어,힐러,의무관,라이프위버,44.5,5.9,-1.792,D
2026-07-09_0637,고티어,탱커,강건한 자,도미나,52.7,2.8,1.377,S
2026-07-09_0637,고티어,탱커,개시자,둠피스트,49.0,11.5,0.819,A
2026-07-09_0637,고티어,탱커,개시자,레킹볼,47.5,5.0,-0.47,A
2026-07-09_0637,고티어,탱커,강건한 자,라인하르트,46.5,6.9,-0.669,B
2026-07-09_0637,고티어,탱커,개시자,D.VA,46.7,4.6,-0.833,B
2026-07-09_0637,고티어,탱커,투사,마우가,45.2,6.2,-1.263,C
2026-07-09_0637,고티어,탱커,강건한 자,라마트라,45.7,3.7,-1.328,C
2026-07-09_0637,고티어,탱커,투사,로드호그,42.7,4.6,-2.433,D
2026-07-09_0637,고티어,딜러,측면 공격가,겐지,51.1,13.4,1.619,S
2026-07-09_0637,고티어,딜러,측면 공격가,리퍼,48.4,9.4,0.187,A
2026-07-09_0637,고티어,딜러,전문가,메이,48.8,6.3,0.074,B
2026-07-09_0637,고티어,딜러,전문가,바스티온,49.4,3.3,0.05,C
2026-07-09_0637,고티어,딜러,측면 공격가,벤데타,47.6,1.7,-0.81,D
2026-07-09_0637,고티어,힐러,생존왕,미즈키,53.2,13.0,2.341,S
2026-07-09_0637,고티어,힐러,의무관,모이라,49.7,15.5,1.145,A
2026-07-09_0637,고티어,힐러,전술가,바티스트,46.0,4.9,-1.2,B
2026-07-09_0637,고티어,힐러,전술가,루시우,46.0,3.3,-1.331,B
2026-07-09_0637,고티어,힐러,의무관,메르시,44.7,3.8,-1.81,C
2026-07-09_0637,고티어,힐러,의무관,라이프위버,40.5,3.6,-3.506,D
