날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-09-08_0730,저티어,탱커,개시자,둠피스트,53.4,3.2,1.683,S
2026-09-08_0730,저티어,탱커,강건한 자,라인하르트,51.4,7.6,1.326,A
2026-09-08_0730,저티어,탱커,강건한 자,라마트라,50.0,11.5,1.16,A
2026-09-08_0730,저티어,탱커,강건한 자,도미나,50.3,6.5,0.775,B
2026-09-08_0730,저티어,탱커,개시자,레킹볼,49.6,1.8,0.022,B
2026-09-08_0730,저티어,탱커,개시자,D.VA,46.3,6.6,-0.814,C
2026-09-08_0730,저티어,탱커,투사,마우가,45.7,6.5,-1.065,C
2026-09-08_0730,저티어,탱커,투사,로드호그,44.2,3.9,-1.927,D
2026-09-08_0730,저티어,딜러,측면 공격가,리퍼,52.2,9.6,1.45,S
2026-09-08_0730,저티어,딜러,전문가,메이,52.3,8.8,1.443,A
2026-09-08_0730,저티어,딜러,측면 공격가,겐지,51.1,6.4,0.82,B
2026-09-08_0730,저티어,딜러,전문가,바스티온,49.1,15.6,0.567,C
2026-09-08_0730,저티어,힐러,의무관,모이라,51.7,30.5,2.331,S
2026-09-08_0730,저티어,힐러,생존왕,미즈키,51.0,17.1,1.326,A
2026-09-08_0730,저티어,힐러,전술가,루시우,47.0,4.4,-0.962,B
2026-09-08_0730,저티어,힐러,전술가,바티스트,45.2,5.3,-1.633,B
2026-09-08_0730,저티어,힐러,의무관,라이프위버,44.5,4.7,-1.946,C
2026-09-08_0730,저티어,힐러,의무관,메르시,44.0,4.5,-2.156,D
2026-09-08_0730,중티어,탱커,강건한 자,라인하르트,51.3,8.1,1.388,S
2026-09-08_0730,중티어,탱커,개시자,둠피스트,50.5,7.0,0.95,A
2026-09-08_0730,중티어,탱커,강건한 자,라마트라,49.0,7.8,0.436,A
2026-09-08_0730,중티어,탱커,강건한 자,도미나,50.2,2.7,0.369,B
2026-09-08_0730,중티어,탱커,개시자,레킹볼,49.7,3.2,0.223,B
2026-09-08_0730,중티어,탱커,투사,마우가,47.7,6.1,-0.266,C
2026-09-08_0730,중티어,탱커,개시자,D.VA,45.7,5.3,-1.152,C
2026-09-08_0730,중티어,탱커,투사,로드호그,42.8,4.6,-2.387,D
2026-09-08_0730,중티어,딜러,측면 공격가,겐지,51.5,11.1,1.255,S
2026-09-08_0730,중티어,딜러,측면 공격가,리퍼,51.2,12.7,1.229,A
2026-09-08_0730,중티어,딜러,전문가,메이,50.4,8.1,0.638,B
2026-09-08_0730,중티어,딜러,전문가,바스티온,47.6,8.8,-0.441,C
2026-09-08_0730,중티어,힐러,의무관,모이라,50.9,23.0,1.931,S
2026-09-08_0730,중티어,힐러,생존왕,미즈키,49.3,11.9,0.533,A
2026-09-08_0730,중티어,힐러,전술가,루시우,47.9,3.8,-0.58,B
2026-09-08_0730,중티어,힐러,의무관,라이프위버,46.6,5.1,-1.012,B
2026-09-08_0730,중티어,힐러,의무관,메르시,45.8,3.2,-1.461,C
2026-09-08_0730,중티어,힐러,전술가,바티스트,45.0,5.7,-1.611,D
2026-09-08_0730,고티어,탱커,강건한 자,도미나,52.3,2.0,1.139,S
2026-09-08_0730,고티어,탱커,개시자,둠피스트,49.6,10.4,0.98,A
2026-09-08_0730,고티어,탱커,강건한 자,라인하르트,48.1,5.0,-0.212,A
2026-09-08_0730,고티어,탱커,투사,마우가,47.2,5.7,-0.495,B
2026-09-08_0730,고티어,탱커,강건한 자,라마트라,47.4,4.8,-0.514,B
2026-09-08_0730,고티어,탱커,개시자,레킹볼,47.1,5.3,-0.579,C
2026-09-08_0730,고티어,탱커,투사,로드호그,46.0,5.3,-1.019,C
2026-09-08_0730,고티어,탱커,개시자,D.VA,45.6,5.3,-1.179,D
2026-09-08_0730,고티어,딜러,측면 공격가,겐지,49.3,14.0,0.732,S
2026-09-08_0730,고티어,딜러,측면 공격가,리퍼,49.1,10.3,0.385,A
2026-09-08_0730,고티어,딜러,전문가,바스티온,47.0,4.9,-0.846,B
2026-09-08_0730,고티어,딜러,전문가,메이,45.1,4.0,-1.671,C
2026-09-08_0730,고티어,힐러,의무관,모이라,47.9,13.6,0.363,S
2026-09-08_0730,고티어,힐러,전술가,루시우,49.1,6.9,0.25,A
2026-09-08_0730,고티어,힐러,생존왕,미즈키,47.2,10.9,-0.156,B
2026-09-08_0730,고티어,힐러,전술가,바티스트,45.1,4.4,-1.571,B
2026-09-08_0730,고티어,힐러,의무관,메르시,44.7,2.2,-1.925,C
2026-09-08_0730,고티어,힐러,의무관,라이프위버,41.6,2.7,-3.121,D
