날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-08-25_0338,저티어,탱커,강건한 자,라인하르트,51.6,7.2,1.369,S
2026-08-25_0338,저티어,탱커,개시자,둠피스트,52.6,2.7,1.313,A
2026-08-25_0338,저티어,탱커,강건한 자,라마트라,50.3,11.5,1.285,A
2026-08-25_0338,저티어,탱커,강건한 자,도미나,50.3,7.2,0.849,B
2026-08-25_0338,저티어,탱커,개시자,레킹볼,48.8,1.8,-0.298,B
2026-08-25_0338,저티어,탱커,개시자,D.VA,46.6,6.9,-0.661,C
2026-08-25_0338,저티어,탱커,투사,마우가,46.2,6.2,-0.892,C
2026-08-25_0338,저티어,탱커,투사,로드호그,44.2,3.9,-1.925,D
2026-08-25_0338,저티어,딜러,측면 공격가,리퍼,52.7,9.6,1.643,S
2026-08-25_0338,저티어,딜러,전문가,메이,52.4,9.2,1.5,A
2026-08-25_0338,저티어,딜러,측면 공격가,겐지,50.7,6.3,0.65,B
2026-08-25_0338,저티어,딜러,전문가,바스티온,49.1,15.8,0.567,C
2026-08-25_0338,저티어,힐러,의무관,모이라,52.0,30.1,2.432,S
2026-08-25_0338,저티어,힐러,생존왕,미즈키,51.8,17.8,1.685,A
2026-08-25_0338,저티어,힐러,전술가,루시우,48.0,4.5,-0.556,B
2026-08-25_0338,저티어,힐러,전술가,바티스트,44.4,5.1,-1.963,B
2026-08-25_0338,저티어,힐러,의무관,메르시,44.1,4.5,-2.116,C
2026-08-25_0338,저티어,힐러,의무관,라이프위버,42.3,4.4,-2.841,D
2026-08-25_0338,중티어,탱커,강건한 자,라인하르트,51.2,7.8,1.327,S
2026-08-25_0338,중티어,탱커,개시자,둠피스트,50.6,6.6,0.957,A
2026-08-25_0338,중티어,탱커,강건한 자,라마트라,49.5,8.1,0.68,A
2026-08-25_0338,중티어,탱커,강건한 자,도미나,50.7,2.8,0.584,B
2026-08-25_0338,중티어,탱커,개시자,레킹볼,49.4,3.0,0.086,B
2026-08-25_0338,중티어,탱커,투사,마우가,47.8,6.0,-0.228,C
2026-08-25_0338,중티어,탱커,개시자,D.VA,45.6,5.5,-1.163,C
2026-08-25_0338,중티어,탱커,투사,로드호그,42.9,4.4,-2.362,D
2026-08-25_0338,중티어,딜러,측면 공격가,겐지,51.8,11.3,1.383,S
2026-08-25_0338,중티어,딜러,측면 공격가,리퍼,51.2,12.7,1.225,A
2026-08-25_0338,중티어,딜러,전문가,메이,50.9,8.3,0.847,B
2026-08-25_0338,중티어,딜러,전문가,바스티온,48.0,8.6,-0.295,C
2026-08-25_0338,중티어,힐러,의무관,모이라,50.8,22.8,1.883,S
2026-08-25_0338,중티어,힐러,생존왕,미즈키,49.6,12.1,0.67,A
2026-08-25_0338,중티어,힐러,전술가,루시우,47.9,3.9,-0.573,B
2026-08-25_0338,중티어,힐러,의무관,라이프위버,47.0,4.8,-0.871,B
2026-08-25_0338,중티어,힐러,의무관,메르시,45.2,3.2,-1.701,C
2026-08-25_0338,중티어,힐러,전술가,바티스트,44.7,5.7,-1.729,D
2026-08-25_0338,고티어,탱커,개시자,둠피스트,49.1,10.0,0.714,S
2026-08-25_0338,고티어,탱커,강건한 자,라마트라,49.9,5.5,0.551,A
2026-08-25_0338,고티어,탱커,투사,마우가,49.3,6.2,0.386,A
2026-08-25_0338,고티어,탱커,개시자,레킹볼,49.5,4.8,0.315,B
2026-08-25_0338,고티어,탱커,강건한 자,라인하르트,49.1,4.9,0.166,B
2026-08-25_0338,고티어,탱커,강건한 자,도미나,49.6,2.1,0.066,C
2026-08-25_0338,고티어,탱커,개시자,D.VA,47.2,5.7,-0.508,C
2026-08-25_0338,고티어,탱커,투사,로드호그,45.1,5.5,-1.369,D
2026-08-25_0338,고티어,딜러,측면 공격가,리퍼,49.5,11.1,0.6,S
2026-08-25_0338,고티어,딜러,측면 공격가,겐지,48.1,12.9,0.17,A
2026-08-25_0338,고티어,딜러,전문가,메이,46.9,4.4,-0.923,B
2026-08-25_0338,고티어,딜러,전문가,바스티온,46.1,4.9,-1.207,C
2026-08-25_0338,고티어,힐러,의무관,모이라,49.1,12.9,0.807,S
2026-08-25_0338,고티어,힐러,생존왕,미즈키,47.5,11.0,-0.005,A
2026-08-25_0338,고티어,힐러,전술가,루시우,48.1,6.7,-0.154,B
2026-08-25_0338,고티어,힐러,의무관,메르시,44.9,2.4,-1.823,B
2026-08-25_0338,고티어,힐러,의무관,라이프위버,43.0,2.5,-2.574,C
2026-08-25_0338,고티어,힐러,전술가,바티스트,41.7,4.3,-2.931,D
