날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-05-19_0638,저티어,탱커,강건한 자,도미나,52.4,6.7,1.545,S
2026-05-19_0638,저티어,탱커,강건한 자,라마트라,51.0,9.9,1.264,A
2026-05-19_0638,저티어,탱커,강건한 자,라인하르트,50.6,7.8,0.921,A
2026-05-19_0638,저티어,탱커,개시자,둠피스트,51.1,3.4,0.737,B
2026-05-19_0638,저티어,탱커,투사,마우가,48.4,12.2,0.425,B
2026-05-19_0638,저티어,탱커,개시자,레킹볼,50.6,2.1,0.423,C
2026-05-19_0638,저티어,탱커,개시자,D.VA,47.5,8.4,-0.267,C
2026-05-19_0638,저티어,탱커,투사,로드호그,43.5,4.5,-2.207,D
2026-05-19_0638,저티어,딜러,측면 공격가,리퍼,53.0,15.7,2.237,S
2026-05-19_0638,저티어,딜러,측면 공격가,겐지,52.1,8.3,1.388,A
2026-05-19_0638,저티어,딜러,전문가,메이,51.3,5.4,0.877,B
2026-05-19_0638,저티어,딜러,측면 공격가,벤데타,49.6,2.8,0.025,C
2026-05-19_0638,저티어,딜러,전문가,바스티온,47.6,13.2,-0.088,D
2026-05-19_0638,저티어,힐러,생존왕,미즈키,51.8,11.4,1.379,S
2026-05-19_0638,저티어,힐러,의무관,모이라,49.4,23.1,1.095,A
2026-05-19_0638,저티어,힐러,의무관,라이프위버,48.5,5.7,-0.271,B
2026-05-19_0638,저티어,힐러,전술가,루시우,47.0,7.9,-0.743,B
2026-05-19_0638,저티어,힐러,의무관,메르시,45.2,8.5,-1.429,C
2026-05-19_0638,저티어,힐러,전술가,바티스트,45.0,5.7,-1.671,D
2026-05-19_0638,중티어,탱커,개시자,둠피스트,52.3,8.1,1.672,S
2026-05-19_0638,중티어,탱커,강건한 자,도미나,53.0,4.0,1.571,A
2026-05-19_0638,중티어,탱커,개시자,D.VA,49.4,6.5,0.363,A
2026-05-19_0638,중티어,탱커,투사,마우가,47.4,11.8,0.056,B
2026-05-19_0638,중티어,탱커,강건한 자,라인하르트,48.3,7.0,-0.03,B
2026-05-19_0638,중티어,탱커,개시자,레킹볼,48.1,3.2,-0.463,C
2026-05-19_0638,중티어,탱커,강건한 자,라마트라,47.6,5.0,-0.496,C
2026-05-19_0638,중티어,탱커,투사,로드호그,42.4,6.1,-2.474,D
2026-05-19_0638,중티어,딜러,측면 공격가,리퍼,52.7,15.2,2.091,S
2026-05-19_0638,중티어,딜러,측면 공격가,겐지,51.9,16.3,1.844,A
2026-05-19_0638,중티어,딜러,전문가,메이,48.5,5.5,-0.234,B
2026-05-19_0638,중티어,딜러,전문가,바스티온,47.5,6.2,-0.588,C
2026-05-19_0638,중티어,딜러,측면 공격가,벤데타,46.5,1.9,-1.274,D
2026-05-19_0638,중티어,힐러,생존왕,미즈키,48.8,7.6,0.182,S
2026-05-19_0638,중티어,힐러,의무관,모이라,46.9,10.0,-0.368,A
2026-05-19_0638,중티어,힐러,의무관,메르시,47.7,5.9,-0.406,B
2026-05-19_0638,중티어,힐러,의무관,라이프위버,46.6,6.6,-0.785,B
2026-05-19_0638,중티어,힐러,전술가,루시우,46.7,4.4,-0.936,C
2026-05-19_0638,중티어,힐러,전술가,바티스트,46.1,6.8,-0.967,D
2026-05-19_0638,고티어,탱커,강건한 자,도미나,53.4,2.8,1.655,S
2026-05-19_0638,고티어,탱커,개시자,둠피스트,49.7,11.0,1.038,A
2026-05-19_0638,고티어,탱커,개시자,D.VA,48.4,5.1,-0.103,A
2026-05-19_0638,고티어,탱커,투사,마우가,45.2,10.4,-0.825,B
2026-05-19_0638,고티어,탱커,개시자,레킹볼,46.1,3.9,-1.149,B
2026-05-19_0638,고티어,탱커,강건한 자,라마트라,45.1,3.2,-1.623,C
2026-05-19_0638,고티어,탱커,투사,로드호그,44.0,4.9,-1.884,C
2026-05-19_0638,고티어,탱커,강건한 자,라인하르트,43.6,4.3,-2.107,D
2026-05-19_0638,고티어,딜러,측면 공격가,리퍼,53.1,16.3,2.487,S
2026-05-19_0638,고티어,딜러,측면 공격가,겐지,49.1,14.2,0.727,A
2026-05-19_0638,고티어,딜러,전문가,바스티온,50.2,4.0,0.386,B
2026-05-19_0638,고티어,딜러,전문가,메이,48.5,3.6,-0.324,C
2026-05-19_0638,고티어,딜러,측면 공격가,벤데타,47.2,1.1,-1.036,D
2026-05-19_0638,고티어,힐러,전술가,루시우,47.9,5.5,-0.215,S
2026-05-19_0638,고티어,힐러,의무관,메르시,48.1,4.7,-0.226,A
2026-05-19_0638,고티어,힐러,전술가,바티스트,47.0,7.7,-0.326,B
2026-05-19_0638,고티어,힐러,생존왕,미즈키,47.5,5.7,-0.353,B
2026-05-19_0638,고티어,힐러,의무관,모이라,44.4,4.2,-1.763,C
2026-05-19_0638,고티어,힐러,의무관,라이프위버,41.0,3.9,-3.157,D
