날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-09-24_0753,저티어,탱커,강건한 자,라인하르트,53.7,8.1,2.333,S
2026-09-24_0753,저티어,탱커,개시자,둠피스트,52.8,4.0,1.541,A
2026-09-24_0753,저티어,탱커,강건한 자,도미나,51.7,5.3,1.238,A
2026-09-24_0753,저티어,탱커,강건한 자,라마트라,49.1,10.9,0.787,B
2026-09-24_0753,저티어,탱커,개시자,레킹볼,50.5,2.1,0.421,B
2026-09-24_0753,저티어,탱커,개시자,D.VA,46.0,6.7,-0.895,C
2026-09-24_0753,저티어,탱커,투사,로드호그,45.1,3.9,-1.549,C
2026-09-24_0753,저티어,탱커,투사,마우가,42.5,4.6,-2.516,D
2026-09-24_0753,저티어,딜러,측면 공격가,리퍼,51.9,11.4,1.446,S
2026-09-24_0753,저티어,딜러,측면 공격가,겐지,51.5,6.3,0.979,A
2026-09-24_0753,저티어,딜러,전문가,메이,51.1,7.7,0.903,B
2026-09-24_0753,저티어,딜러,전문가,바스티온,49.4,14.5,0.632,C
2026-09-24_0753,저티어,힐러,의무관,모이라,52.1,34.2,2.586,S
2026-09-24_0753,저티어,힐러,생존왕,미즈키,51.7,15.9,1.492,A
2026-09-24_0753,저티어,힐러,의무관,라이프위버,48.0,5.5,-0.519,B
2026-09-24_0753,저티어,힐러,전술가,바티스트,47.5,7.2,-0.632,B
2026-09-24_0753,저티어,힐러,전술가,루시우,46.7,3.7,-1.131,C
2026-09-24_0753,저티어,힐러,의무관,메르시,45.8,4.0,-1.476,D
2026-09-24_0753,중티어,탱커,강건한 자,라인하르트,51.7,9.3,1.697,S
2026-09-24_0753,중티어,탱커,개시자,둠피스트,49.8,7.8,0.773,A
2026-09-24_0753,중티어,탱커,강건한 자,도미나,51.1,2.7,0.735,A
2026-09-24_0753,중티어,탱커,개시자,레킹볼,50.1,3.5,0.423,B
2026-09-24_0753,중티어,탱커,강건한 자,라마트라,48.3,6.7,0.053,B
2026-09-24_0753,중티어,탱커,개시자,D.VA,45.8,5.2,-1.111,C
2026-09-24_0753,중티어,탱커,투사,마우가,42.3,3.9,-2.654,C
2026-09-24_0753,중티어,탱커,투사,로드호그,41.5,4.8,-2.875,D
2026-09-24_0753,중티어,딜러,측면 공격가,겐지,51.3,10.2,1.146,S
2026-09-24_0753,중티어,딜러,측면 공격가,리퍼,50.1,13.2,0.85,A
2026-09-24_0753,중티어,딜러,전문가,메이,50.4,7.2,0.602,B
2026-09-24_0753,중티어,딜러,전문가,바스티온,47.6,8.5,-0.438,C
2026-09-24_0753,중티어,힐러,의무관,모이라,52.2,26.6,2.476,S
2026-09-24_0753,중티어,힐러,생존왕,미즈키,50.0,11.9,0.714,A
2026-09-24_0753,중티어,힐러,전술가,루시우,48.1,3.4,-0.556,B
2026-09-24_0753,중티어,힐러,전술가,바티스트,47.3,8.5,-0.57,B
2026-09-24_0753,중티어,힐러,의무관,라이프위버,47.5,6.5,-0.61,C
2026-09-24_0753,중티어,힐러,의무관,메르시,46.2,3.1,-1.334,D
2026-09-24_0753,고티어,탱커,개시자,둠피스트,51.4,10.0,1.788,S
2026-09-24_0753,고티어,탱커,강건한 자,도미나,51.0,1.6,0.596,A
2026-09-24_0753,고티어,탱커,강건한 자,라마트라,48.5,3.7,-0.146,A
2026-09-24_0753,고티어,탱커,투사,로드호그,47.9,4.8,-0.251,B
2026-09-24_0753,고티어,탱커,개시자,레킹볼,46.6,5.9,-0.636,B
2026-09-24_0753,고티어,탱커,개시자,D.VA,46.5,4.9,-0.798,C
2026-09-24_0753,고티어,탱커,강건한 자,라인하르트,45.7,4.6,-1.155,C
2026-09-24_0753,고티어,탱커,투사,마우가,42.5,3.6,-2.558,D
2026-09-24_0753,고티어,딜러,측면 공격가,겐지,50.1,12.5,0.952,S
2026-09-24_0753,고티어,딜러,측면 공격가,리퍼,50.0,10.9,0.795,A
2026-09-24_0753,고티어,딜러,전문가,메이,50.3,4.0,0.412,B
2026-09-24_0753,고티어,딜러,전문가,바스티온,46.5,5.5,-0.999,C
2026-09-24_0753,고티어,힐러,의무관,모이라,50.9,17.3,1.679,S
2026-09-24_0753,고티어,힐러,전술가,루시우,49.3,6.4,0.208,A
2026-09-24_0753,고티어,힐러,전술가,바티스트,48.1,7.6,-0.18,B
2026-09-24_0753,고티어,힐러,생존왕,미즈키,46.1,10.3,-0.774,B
2026-09-24_0753,고티어,힐러,의무관,라이프위버,46.0,3.9,-1.303,C
2026-09-24_0753,고티어,힐러,의무관,메르시,43.9,1.7,-2.31,D
