날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-06-24_0634,저티어,탱커,강건한 자,라인하르트,51.5,9.0,1.411,S
2026-06-24_0634,저티어,탱커,강건한 자,도미나,51.2,6.8,1.092,A
2026-06-24_0634,저티어,탱커,개시자,둠피스트,51.5,3.3,0.897,A
2026-06-24_0634,저티어,탱커,강건한 자,라마트라,49.3,9.8,0.603,B
2026-06-24_0634,저티어,탱커,개시자,레킹볼,50.7,2.2,0.478,B
2026-06-24_0634,저티어,탱커,투사,마우가,47.8,8.6,-0.106,C
2026-06-24_0634,저티어,탱커,개시자,D.VA,46.1,8.1,-0.831,C
2026-06-24_0634,저티어,탱커,투사,로드호그,45.7,5.5,-1.225,D
2026-06-24_0634,저티어,딜러,전문가,메이,53.1,7.0,1.794,S
2026-06-24_0634,저티어,딜러,측면 공격가,겐지,52.2,7.1,1.442,A
2026-06-24_0634,저티어,딜러,측면 공격가,리퍼,49.4,9.0,0.472,B
2026-06-24_0634,저티어,딜러,측면 공격가,벤데타,50.7,2.1,0.446,C
2026-06-24_0634,저티어,딜러,전문가,바스티온,47.7,12.7,0.085,D
2026-06-24_0634,저티어,힐러,생존왕,미즈키,53.4,17.1,2.213,S
2026-06-24_0634,저티어,힐러,의무관,모이라,51.7,29.8,2.166,A
2026-06-24_0634,저티어,힐러,의무관,라이프위버,45.8,5.9,-1.386,B
2026-06-24_0634,저티어,힐러,전술가,루시우,45.8,5.4,-1.411,B
2026-06-24_0634,저티어,힐러,전술가,바티스트,45.3,4.8,-1.641,C
2026-06-24_0634,저티어,힐러,의무관,메르시,44.6,9.2,-1.701,D
2026-06-24_0634,중티어,탱커,강건한 자,도미나,52.8,3.9,1.488,S
2026-06-24_0634,중티어,탱커,강건한 자,라인하르트,51.1,9.8,1.364,A
2026-06-24_0634,중티어,탱커,개시자,둠피스트,51.3,8.4,1.312,A
2026-06-24_0634,중티어,탱커,개시자,D.VA,47.5,5.7,-0.462,B
2026-06-24_0634,중티어,탱커,개시자,레킹볼,47.8,4.3,-0.474,B
2026-06-24_0634,중티어,탱커,투사,마우가,46.7,6.8,-0.679,C
2026-06-24_0634,중티어,탱커,강건한 자,라마트라,46.7,5.2,-0.83,C
2026-06-24_0634,중티어,탱커,투사,로드호그,42.8,6.8,-2.239,D
2026-06-24_0634,중티어,딜러,측면 공격가,겐지,51.8,12.7,1.781,S
2026-06-24_0634,중티어,딜러,전문가,메이,50.6,7.4,0.858,A
2026-06-24_0634,중티어,딜러,측면 공격가,벤데타,48.8,2.0,-0.313,B
2026-06-24_0634,중티어,딜러,측면 공격가,리퍼,47.3,8.8,-0.345,C
2026-06-24_0634,중티어,딜러,전문가,바스티온,47.4,5.0,-0.622,D
2026-06-24_0634,중티어,힐러,의무관,모이라,51.3,19.1,1.876,S
2026-06-24_0634,중티어,힐러,생존왕,미즈키,52.3,12.3,1.793,A
2026-06-24_0634,중티어,힐러,전술가,루시우,46.6,3.0,-1.147,B
2026-06-24_0634,중티어,힐러,의무관,메르시,46.0,5.1,-1.238,B
2026-06-24_0634,중티어,힐러,전술가,바티스트,45.1,5.0,-1.605,C
2026-06-24_0634,중티어,힐러,의무관,라이프위버,44.2,6.2,-1.88,D
2026-06-24_0634,고티어,탱커,강건한 자,도미나,52.3,3.0,1.239,S
2026-06-24_0634,고티어,탱커,개시자,둠피스트,49.8,11.9,1.184,A
2026-06-24_0634,고티어,탱커,강건한 자,라인하르트,47.2,6.7,-0.408,A
2026-06-24_0634,고티어,탱커,개시자,레킹볼,47.1,4.9,-0.64,B
2026-06-24_0634,고티어,탱커,개시자,D.VA,47.2,4.5,-0.642,B
2026-06-24_0634,고티어,탱커,강건한 자,라마트라,45.6,4.0,-1.335,C
2026-06-24_0634,고티어,탱커,투사,마우가,43.3,5.5,-2.096,C
2026-06-24_0634,고티어,탱커,투사,로드호그,43.0,4.7,-2.301,D
2026-06-24_0634,고티어,딜러,측면 공격가,겐지,50.2,12.2,1.261,S
2026-06-24_0634,고티어,딜러,전문가,바스티온,49.6,2.8,0.111,A
2026-06-24_0634,고티어,딜러,전문가,메이,48.8,6.0,0.101,B
2026-06-24_0634,고티어,딜러,측면 공격가,리퍼,47.8,8.4,-0.067,C
2026-06-24_0634,고티어,딜러,측면 공격가,벤데타,46.6,1.6,-1.205,D
2026-06-24_0634,고티어,힐러,생존왕,미즈키,52.8,13.0,2.158,S
2026-06-24_0634,고티어,힐러,의무관,모이라,51.5,15.8,1.861,A
2026-06-24_0634,고티어,힐러,전술가,루시우,47.7,3.3,-0.657,B
2026-06-24_0634,고티어,힐러,전술가,바티스트,45.3,5.0,-1.481,B
2026-06-24_0634,고티어,힐러,의무관,메르시,44.4,4.3,-1.897,C
2026-06-24_0634,고티어,힐러,의무관,라이프위버,39.7,3.7,-3.825,D
