날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-06-08_1742,저티어,탱커,강건한 자,도미나,52.7,6.2,1.577,S
2026-06-08_1742,저티어,탱커,강건한 자,라인하르트,52.0,8.0,1.441,A
2026-06-08_1742,저티어,탱커,개시자,둠피스트,51.5,9.8,1.385,A
2026-06-08_1742,저티어,탱커,투사,마우가,49.7,11.5,0.802,B
2026-06-08_1742,저티어,탱커,강건한 자,라마트라,49.9,6.9,0.513,B
2026-06-08_1742,저티어,탱커,개시자,레킹볼,49.5,3.4,0.072,C
2026-06-08_1742,저티어,탱커,개시자,D.VA,46.3,7.8,-0.855,C
2026-06-08_1742,저티어,탱커,투사,로드호그,45.1,6.3,-1.455,D
2026-06-08_1742,저티어,딜러,측면 공격가,리퍼,53.7,12.0,2.323,S
2026-06-08_1742,저티어,딜러,전문가,메이,53.5,5.5,1.786,A
2026-06-08_1742,저티어,딜러,측면 공격가,겐지,50.8,12.8,1.219,B
2026-06-08_1742,저티어,딜러,전문가,바스티온,48.3,9.1,-0.041,C
2026-06-08_1742,저티어,딜러,측면 공격가,벤데타,48.9,3.3,-0.208,D
2026-06-08_1742,저티어,힐러,생존왕,미즈키,51.9,12.3,1.559,S
2026-06-08_1742,저티어,힐러,의무관,모이라,49.9,12.9,0.798,A
2026-06-08_1742,저티어,힐러,의무관,라이프위버,50.4,9.1,0.751,B
2026-06-08_1742,저티어,힐러,전술가,루시우,50.1,6.4,0.456,B
2026-06-08_1742,저티어,힐러,의무관,메르시,46.9,9.0,-0.655,C
2026-06-08_1742,저티어,힐러,전술가,바티스트,47.3,5.7,-0.71,D
2026-06-08_1742,중티어,탱커,강건한 자,도미나,52.7,6.2,1.577,S
2026-06-08_1742,중티어,탱커,강건한 자,라인하르트,52.0,8.0,1.441,A
2026-06-08_1742,중티어,탱커,개시자,둠피스트,51.5,9.8,1.385,A
2026-06-08_1742,중티어,탱커,투사,마우가,49.7,11.5,0.802,B
2026-06-08_1742,중티어,탱커,강건한 자,라마트라,49.9,6.9,0.513,B
2026-06-08_1742,중티어,탱커,개시자,레킹볼,49.5,3.4,0.072,C
2026-06-08_1742,중티어,탱커,개시자,D.VA,46.3,7.8,-0.855,C
2026-06-08_1742,중티어,탱커,투사,로드호그,45.1,6.3,-1.455,D
2026-06-08_1742,중티어,딜러,측면 공격가,리퍼,53.7,12.0,2.323,S
2026-06-08_1742,중티어,딜러,전문가,메이,53.5,5.5,1.786,A
2026-06-08_1742,중티어,딜러,측면 공격가,겐지,50.8,12.8,1.219,B
2026-06-08_1742,중티어,딜러,전문가,바스티온,48.3,9.1,-0.041,C
2026-06-08_1742,중티어,딜러,측면 공격가,벤데타,48.9,3.3,-0.208,D
2026-06-08_1742,중티어,힐러,생존왕,미즈키,51.9,12.3,1.559,S
2026-06-08_1742,중티어,힐러,의무관,모이라,49.9,12.9,0.798,A
2026-06-08_1742,중티어,힐러,의무관,라이프위버,50.4,9.1,0.751,B
2026-06-08_1742,중티어,힐러,전술가,루시우,50.1,6.4,0.456,B
2026-06-08_1742,중티어,힐러,의무관,메르시,46.9,9.0,-0.655,C
2026-06-08_1742,중티어,힐러,전술가,바티스트,47.3,5.7,-0.71,D
2026-06-08_1742,고티어,탱커,강건한 자,도미나,52.7,6.2,1.577,S
2026-06-08_1742,고티어,탱커,강건한 자,라인하르트,52.0,8.0,1.441,A
2026-06-08_1742,고티어,탱커,개시자,둠피스트,51.5,9.8,1.385,A
2026-06-08_1742,고티어,탱커,투사,마우가,49.7,11.5,0.802,B
2026-06-08_1742,고티어,탱커,강건한 자,라마트라,49.9,6.9,0.513,B
2026-06-08_1742,고티어,탱커,개시자,레킹볼,49.5,3.4,0.072,C
2026-06-08_1742,고티어,탱커,개시자,D.VA,46.3,7.8,-0.855,C
2026-06-08_1742,고티어,탱커,투사,로드호그,45.1,6.3,-1.455,D
2026-06-08_1742,고티어,딜러,측면 공격가,리퍼,53.7,12.0,2.323,S
2026-06-08_1742,고티어,딜러,전문가,메이,53.5,5.5,1.786,A
2026-06-08_1742,고티어,딜러,측면 공격가,겐지,50.8,12.8,1.219,B
2026-06-08_1742,고티어,딜러,전문가,바스티온,48.3,9.1,-0.041,C
2026-06-08_1742,고티어,딜러,측면 공격가,벤데타,48.9,3.3,-0.208,D
2026-06-08_1742,고티어,힐러,생존왕,미즈키,51.9,12.3,1.559,S
2026-06-08_1742,고티어,힐러,의무관,모이라,49.9,12.9,0.798,A
2026-06-08_1742,고티어,힐러,의무관,라이프위버,50.4,9.1,0.751,B
2026-06-08_1742,고티어,힐러,전술가,루시우,50.1,6.4,0.456,B
2026-06-08_1742,고티어,힐러,의무관,메르시,46.9,9.0,-0.655,C
2026-06-08_1742,고티어,힐러,전술가,바티스트,47.3,5.7,-0.71,D
