날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-07-01_0702,저티어,탱커,강건한 자,라인하르트,51.7,9.2,1.516,S
2026-07-01_0702,저티어,탱커,개시자,둠피스트,51.6,3.2,0.931,A
2026-07-01_0702,저티어,탱커,강건한 자,도미나,50.7,6.6,0.88,A
2026-07-01_0702,저티어,탱커,강건한 자,라마트라,49.2,9.8,0.571,B
2026-07-01_0702,저티어,탱커,개시자,레킹볼,50.0,2.2,0.2,B
2026-07-01_0702,저티어,탱커,투사,마우가,47.8,8.4,-0.116,C
2026-07-01_0702,저티어,탱커,개시자,D.VA,46.1,8.0,-0.833,C
2026-07-01_0702,저티어,탱커,투사,로드호그,45.7,5.4,-1.229,D
2026-07-01_0702,저티어,딜러,전문가,메이,52.7,7.9,1.673,S
2026-07-01_0702,저티어,딜러,측면 공격가,겐지,52.5,7.1,1.533,A
2026-07-01_0702,저티어,딜러,측면 공격가,리퍼,49.4,9.3,0.457,B
2026-07-01_0702,저티어,딜러,측면 공격가,벤데타,50.3,2.3,0.292,C
2026-07-01_0702,저티어,딜러,전문가,바스티온,47.8,13.4,0.125,D
2026-07-01_0702,저티어,힐러,생존왕,미즈키,53.9,18.7,2.47,S
2026-07-01_0702,저티어,힐러,의무관,모이라,51.4,31.3,2.083,A
2026-07-01_0702,저티어,힐러,전술가,루시우,45.8,5.1,-1.432,B
2026-07-01_0702,저티어,힐러,의무관,라이프위버,45.6,5.5,-1.492,B
2026-07-01_0702,저티어,힐러,전술가,바티스트,45.2,4.7,-1.691,C
2026-07-01_0702,저티어,힐러,의무관,메르시,44.6,8.7,-1.737,D
2026-07-01_0702,중티어,탱커,개시자,둠피스트,51.7,8.3,1.477,S
2026-07-01_0702,중티어,탱커,강건한 자,라인하르트,50.9,9.6,1.282,A
2026-07-01_0702,중티어,탱커,강건한 자,도미나,52.1,3.8,1.205,A
2026-07-01_0702,중티어,탱커,개시자,레킹볼,47.7,4.2,-0.517,B
2026-07-01_0702,중티어,탱커,개시자,D.VA,47.1,5.5,-0.632,B
2026-07-01_0702,중티어,탱커,투사,마우가,46.7,6.8,-0.667,C
2026-07-01_0702,중티어,탱커,강건한 자,라마트라,46.6,5.1,-0.87,C
2026-07-01_0702,중티어,탱커,투사,로드호그,43.0,6.7,-2.157,D
2026-07-01_0702,중티어,딜러,측면 공격가,겐지,51.7,13.0,1.72,S
2026-07-01_0702,중티어,딜러,전문가,메이,51.1,7.9,1.072,A
2026-07-01_0702,중티어,딜러,측면 공격가,리퍼,47.9,9.2,-0.104,B
2026-07-01_0702,중티어,딜러,측면 공격가,벤데타,48.9,2.1,-0.272,C
2026-07-01_0702,중티어,딜러,전문가,바스티온,47.4,5.3,-0.616,D
2026-07-01_0702,중티어,힐러,의무관,모이라,51.3,21.1,1.961,S
2026-07-01_0702,중티어,힐러,생존왕,미즈키,52.5,12.9,1.881,A
2026-07-01_0702,중티어,힐러,의무관,메르시,46.3,5.0,-1.138,B
2026-07-01_0702,중티어,힐러,전술가,루시우,46.2,2.8,-1.329,B
2026-07-01_0702,중티어,힐러,전술가,바티스트,45.0,4.9,-1.665,C
2026-07-01_0702,중티어,힐러,의무관,라이프위버,44.5,6.0,-1.79,D
2026-07-01_0702,고티어,탱커,강건한 자,도미나,52.5,3.1,1.329,S
2026-07-01_0702,고티어,탱커,개시자,둠피스트,49.2,11.6,0.912,A
2026-07-01_0702,고티어,탱커,강건한 자,라인하르트,47.4,6.9,-0.307,A
2026-07-01_0702,고티어,탱커,개시자,레킹볼,47.0,4.9,-0.68,B
2026-07-01_0702,고티어,탱커,개시자,D.VA,46.9,4.5,-0.762,B
2026-07-01_0702,고티어,탱커,강건한 자,라마트라,45.3,3.8,-1.476,C
2026-07-01_0702,고티어,탱커,투사,마우가,44.4,5.7,-1.635,C
2026-07-01_0702,고티어,탱커,투사,로드호그,43.1,4.7,-2.261,D
2026-07-01_0702,고티어,딜러,측면 공격가,겐지,50.2,12.6,1.261,S
2026-07-01_0702,고티어,딜러,측면 공격가,리퍼,48.3,8.8,0.145,A
2026-07-01_0702,고티어,딜러,전문가,메이,48.6,6.0,0.003,B
2026-07-01_0702,고티어,딜러,전문가,바스티온,48.9,3.0,-0.159,C
2026-07-01_0702,고티어,딜러,측면 공격가,벤데타,48.1,1.6,-0.61,D
2026-07-01_0702,고티어,힐러,생존왕,미즈키,53.7,13.3,2.542,S
2026-07-01_0702,고티어,힐러,의무관,모이라,50.3,16.2,1.413,A
2026-07-01_0702,고티어,힐러,전술가,루시우,46.2,3.3,-1.257,B
2026-07-01_0702,고티어,힐러,전술가,바티스트,45.2,4.9,-1.529,B
2026-07-01_0702,고티어,힐러,의무관,메르시,43.7,3.7,-2.225,C
2026-07-01_0702,고티어,힐러,의무관,라이프위버,40.2,3.7,-3.625,D
