날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-08-18_0334,저티어,탱커,강건한 자,라인하르트,52.0,6.7,1.487,S
2026-08-18_0334,저티어,탱커,강건한 자,라마트라,50.1,11.4,1.209,A
2026-08-18_0334,저티어,탱커,개시자,레킹볼,51.6,1.9,0.835,A
2026-08-18_0334,저티어,탱커,강건한 자,도미나,49.9,7.3,0.709,B
2026-08-18_0334,저티어,탱커,개시자,둠피스트,50.9,2.7,0.637,B
2026-08-18_0334,저티어,탱커,개시자,D.VA,46.5,6.8,-0.703,C
2026-08-18_0334,저티어,탱커,투사,마우가,45.7,6.1,-1.094,C
2026-08-18_0334,저티어,탱커,투사,로드호그,43.5,3.9,-2.2,D
2026-08-18_0334,저티어,딜러,측면 공격가,리퍼,53.0,9.9,1.768,S
2026-08-18_0334,저티어,딜러,전문가,메이,52.7,9.2,1.608,A
2026-08-18_0334,저티어,딜러,전문가,바스티온,49.6,16.6,0.793,B
2026-08-18_0334,저티어,딜러,측면 공격가,겐지,50.7,6.1,0.63,C
2026-08-18_0334,저티어,힐러,의무관,모이라,52.1,30.1,2.453,S
2026-08-18_0334,저티어,힐러,생존왕,미즈키,52.5,18.4,1.986,A
2026-08-18_0334,저티어,힐러,전술가,루시우,48.1,4.9,-0.497,B
2026-08-18_0334,저티어,힐러,의무관,메르시,43.4,4.2,-2.415,B
2026-08-18_0334,저티어,힐러,전술가,바티스트,42.2,4.6,-2.874,C
2026-08-18_0334,저티어,힐러,의무관,라이프위버,41.5,5.0,-3.132,D
2026-08-18_0334,중티어,탱커,강건한 자,라인하르트,50.9,7.5,1.18,S
2026-08-18_0334,중티어,탱커,개시자,둠피스트,50.7,6.2,0.958,A
2026-08-18_0334,중티어,탱커,강건한 자,라마트라,49.6,8.4,0.758,A
2026-08-18_0334,중티어,탱커,강건한 자,도미나,50.8,3.0,0.648,B
2026-08-18_0334,중티어,탱커,개시자,레킹볼,50.2,2.8,0.386,B
2026-08-18_0334,중티어,탱커,투사,마우가,48.5,6.2,0.078,C
2026-08-18_0334,중티어,탱커,개시자,D.VA,45.6,5.5,-1.159,C
2026-08-18_0334,중티어,탱커,투사,로드호그,43.3,4.3,-2.21,D
2026-08-18_0334,중티어,딜러,측면 공격가,겐지,52.0,11.5,1.468,S
2026-08-18_0334,중티어,딜러,측면 공격가,리퍼,51.1,13.0,1.195,A
2026-08-18_0334,중티어,딜러,전문가,메이,51.0,8.3,0.882,B
2026-08-18_0334,중티어,딜러,전문가,바스티온,47.7,8.5,-0.426,C
2026-08-18_0334,중티어,힐러,의무관,모이라,50.6,22.6,1.778,S
2026-08-18_0334,중티어,힐러,생존왕,미즈키,49.9,12.3,0.797,A
2026-08-18_0334,중티어,힐러,전술가,루시우,48.3,3.9,-0.415,B
2026-08-18_0334,중티어,힐러,의무관,라이프위버,46.9,5.4,-0.873,B
2026-08-18_0334,중티어,힐러,전술가,바티스트,44.6,5.5,-1.786,C
2026-08-18_0334,중티어,힐러,의무관,메르시,44.7,3.2,-1.902,D
2026-08-18_0334,고티어,탱커,투사,마우가,51.9,6.4,1.426,S
2026-08-18_0334,고티어,탱커,개시자,D.VA,51.0,6.3,1.056,A
2026-08-18_0334,고티어,탱커,강건한 자,라마트라,51.1,5.7,1.033,A
2026-08-18_0334,고티어,탱커,개시자,둠피스트,47.9,10.3,0.232,B
2026-08-18_0334,고티어,탱커,강건한 자,라인하르트,48.6,5.5,0.013,B
2026-08-18_0334,고티어,탱커,투사,로드호그,47.5,5.0,-0.479,C
2026-08-18_0334,고티어,탱커,강건한 자,도미나,48.0,2.5,-0.54,C
2026-08-18_0334,고티어,탱커,개시자,레킹볼,45.3,4.4,-1.422,D
2026-08-18_0334,고티어,딜러,측면 공격가,리퍼,49.4,11.1,0.585,S
2026-08-18_0334,고티어,딜러,측면 공격가,겐지,48.7,12.4,0.401,A
2026-08-18_0334,고티어,딜러,전문가,메이,48.1,4.3,-0.44,B
2026-08-18_0334,고티어,딜러,전문가,바스티온,47.0,4.5,-0.866,C
2026-08-18_0334,고티어,힐러,의무관,모이라,49.0,13.0,0.764,S
2026-08-18_0334,고티어,힐러,생존왕,미즈키,47.7,11.4,0.101,A
2026-08-18_0334,고티어,힐러,전술가,루시우,48.3,6.7,-0.08,B
2026-08-18_0334,고티어,힐러,의무관,라이프위버,44.2,2.8,-2.069,B
2026-08-18_0334,고티어,힐러,의무관,메르시,43.7,2.4,-2.305,C
2026-08-18_0334,고티어,힐러,전술가,바티스트,42.1,3.9,-2.811,D
