날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-03-16_1748,저티어,탱커,강건한 자,도미나,52.6,12.7,1.979,S
2026-03-16_1748,저티어,탱커,강건한 자,라인하르트,51.8,7.9,1.304,A
2026-03-16_1748,저티어,탱커,개시자,둠피스트,49.6,9.4,0.535,A
2026-03-16_1748,저티어,탱커,개시자,레킹볼,49.8,3.4,0.171,B
2026-03-16_1748,저티어,탱커,투사,로드호그,48.7,8.8,0.131,B
2026-03-16_1748,저티어,탱커,강건한 자,라마트라,48.8,6.1,-0.029,C
2026-03-16_1748,저티어,탱커,개시자,D.VA,46.6,8.5,-0.731,D
2026-03-16_1748,저티어,딜러,측면 공격가,겐지,49.9,11.1,0.56,S
2026-03-16_1748,저티어,힐러,전술가,루시우,51.4,6.3,1.16,S
2026-03-16_1748,저티어,힐러,의무관,라이프위버,47.5,6.3,-0.4,B
2026-03-16_1748,중티어,탱커,강건한 자,도미나,52.6,12.7,1.979,S
2026-03-16_1748,중티어,탱커,강건한 자,라인하르트,51.8,7.9,1.304,A
2026-03-16_1748,중티어,탱커,개시자,둠피스트,49.6,9.4,0.535,A
2026-03-16_1748,중티어,탱커,개시자,레킹볼,49.8,3.4,0.171,B
2026-03-16_1748,중티어,탱커,투사,로드호그,48.7,8.8,0.131,B
2026-03-16_1748,중티어,탱커,강건한 자,라마트라,48.8,6.1,-0.029,C
2026-03-16_1748,중티어,탱커,개시자,D.VA,46.6,8.5,-0.731,D
2026-03-16_1748,중티어,딜러,측면 공격가,겐지,49.9,11.1,0.56,S
2026-03-16_1748,중티어,힐러,전술가,루시우,51.4,6.3,1.16,S
2026-03-16_1748,중티어,힐러,의무관,라이프위버,47.5,6.3,-0.4,B
2026-03-16_1748,고티어,탱커,강건한 자,도미나,52.6,12.7,1.979,S
2026-03-16_1748,고티어,탱커,강건한 자,라인하르트,51.8,7.9,1.304,A
2026-03-16_1748,고티어,탱커,개시자,둠피스트,49.6,9.4,0.535,A
2026-03-16_1748,고티어,탱커,개시자,레킹볼,49.8,3.4,0.171,B
2026-03-16_1748,고티어,탱커,투사,로드호그,48.7,8.8,0.131,B
2026-03-16_1748,고티어,탱커,강건한 자,라마트라,48.8,6.1,-0.029,C
2026-03-16_1748,고티어,탱커,개시자,D.VA,46.6,8.5,-0.731,D
2026-03-16_1748,고티어,딜러,측면 공격가,겐지,49.9,11.1,0.56,S
2026-03-16_1748,고티어,힐러,전술가,루시우,51.4,6.3,1.16,S
2026-03-16_1748,고티어,힐러,의무관,라이프위버,47.5,6.3,-0.4,B
