날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-09-03_0727,저티어,탱커,개시자,둠피스트,53.1,3.1,1.551,S
2026-09-03_0727,저티어,탱커,강건한 자,라인하르트,51.6,7.5,1.393,A
2026-09-03_0727,저티어,탱커,강건한 자,라마트라,50.4,11.4,1.305,A
2026-09-03_0727,저티어,탱커,강건한 자,도미나,50.6,6.8,0.923,B
2026-09-03_0727,저티어,탱커,개시자,레킹볼,49.5,1.8,-0.019,B
2026-09-03_0727,저티어,탱커,개시자,D.VA,47.1,6.7,-0.487,C
2026-09-03_0727,저티어,탱커,투사,마우가,46.0,6.5,-0.947,C
2026-09-03_0727,저티어,탱커,투사,로드호그,43.4,4.0,-2.238,D
2026-09-03_0727,저티어,딜러,측면 공격가,리퍼,52.3,9.6,1.485,S
2026-09-03_0727,저티어,딜러,전문가,메이,52.4,8.8,1.478,A
2026-09-03_0727,저티어,딜러,측면 공격가,겐지,51.0,6.6,0.788,B
2026-09-03_0727,저티어,딜러,전문가,바스티온,49.5,15.8,0.729,C
2026-09-03_0727,저티어,힐러,의무관,모이라,51.7,30.1,2.319,S
2026-09-03_0727,저티어,힐러,생존왕,미즈키,51.6,17.2,1.577,A
2026-09-03_0727,저티어,힐러,전술가,루시우,46.5,4.4,-1.16,B
2026-09-03_0727,저티어,힐러,전술가,바티스트,44.7,5.3,-1.831,B
2026-09-03_0727,저티어,힐러,의무관,메르시,43.5,4.6,-2.349,C
2026-09-03_0727,저티어,힐러,의무관,라이프위버,43.4,4.5,-2.395,D
2026-09-03_0727,중티어,탱커,강건한 자,라인하르트,51.2,8.1,1.346,S
2026-09-03_0727,중티어,탱커,개시자,둠피스트,50.7,6.9,1.018,A
2026-09-03_0727,중티어,탱커,강건한 자,라마트라,49.0,7.9,0.445,A
2026-09-03_0727,중티어,탱커,강건한 자,도미나,50.3,2.7,0.409,B
2026-09-03_0727,중티어,탱커,개시자,레킹볼,49.8,3.2,0.262,B
2026-09-03_0727,중티어,탱커,투사,마우가,47.8,6.1,-0.228,C
2026-09-03_0727,중티어,탱커,개시자,D.VA,45.7,5.4,-1.143,C
2026-09-03_0727,중티어,탱커,투사,로드호그,42.9,4.6,-2.348,D
2026-09-03_0727,중티어,딜러,측면 공격가,겐지,51.5,11.1,1.255,S
2026-09-03_0727,중티어,딜러,측면 공격가,리퍼,51.1,12.7,1.189,A
2026-09-03_0727,중티어,딜러,전문가,메이,50.5,8.1,0.678,B
2026-09-03_0727,중티어,딜러,전문가,바스티온,47.8,8.8,-0.361,C
2026-09-03_0727,중티어,힐러,의무관,모이라,50.9,22.8,1.926,S
2026-09-03_0727,중티어,힐러,생존왕,미즈키,49.3,12.0,0.544,A
2026-09-03_0727,중티어,힐러,전술가,루시우,48.1,3.8,-0.499,B
2026-09-03_0727,중티어,힐러,의무관,라이프위버,46.7,4.9,-0.983,B
2026-09-03_0727,중티어,힐러,의무관,메르시,45.6,3.2,-1.54,C
2026-09-03_0727,중티어,힐러,전술가,바티스트,44.7,5.7,-1.728,D
2026-09-03_0727,고티어,탱커,개시자,둠피스트,49.9,10.2,1.078,S
2026-09-03_0727,고티어,탱커,강건한 자,도미나,51.7,2.1,0.91,A
2026-09-03_0727,고티어,탱커,투사,마우가,47.6,5.9,-0.313,A
2026-09-03_0727,고티어,탱커,강건한 자,라인하르트,47.9,4.8,-0.314,B
2026-09-03_0727,고티어,탱커,개시자,레킹볼,47.6,5.1,-0.401,B
2026-09-03_0727,고티어,탱커,강건한 자,라마트라,47.6,4.9,-0.423,C
2026-09-03_0727,고티어,탱커,투사,로드호그,45.8,5.5,-1.077,C
2026-09-03_0727,고티어,탱커,개시자,D.VA,45.7,5.3,-1.139,D
2026-09-03_0727,고티어,딜러,측면 공격가,겐지,49.1,14.0,0.64,S
2026-09-03_0727,고티어,딜러,측면 공격가,리퍼,49.1,10.7,0.404,A
2026-09-03_0727,고티어,딜러,전문가,바스티온,47.0,4.9,-0.85,B
2026-09-03_0727,고티어,딜러,전문가,메이,45.7,4.0,-1.434,C
2026-09-03_0727,고티어,힐러,의무관,모이라,47.9,13.6,0.354,S
2026-09-03_0727,고티어,힐러,전술가,루시우,49.2,7.0,0.295,A
2026-09-03_0727,고티어,힐러,생존왕,미즈키,47.6,11.1,0.015,B
2026-09-03_0727,고티어,힐러,의무관,메르시,45.2,2.3,-1.718,B
2026-09-03_0727,고티어,힐러,전술가,바티스트,43.9,4.4,-2.054,C
2026-09-03_0727,고티어,힐러,의무관,라이프위버,42.0,2.6,-2.972,D
