날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-07-31_1629,저티어,탱커,강건한 자,라인하르트,52.4,9.5,1.819,S
2026-07-31_1629,저티어,탱커,개시자,둠피스트,52.1,3.6,1.165,A
2026-07-31_1629,저티어,탱커,강건한 자,라마트라,50.2,10.5,1.029,A
2026-07-31_1629,저티어,탱커,강건한 자,도미나,49.8,5.4,0.408,B
2026-07-31_1629,저티어,탱커,투사,마우가,48.6,8.1,0.172,B
2026-07-31_1629,저티어,탱커,개시자,레킹볼,49.5,2.5,0.026,C
2026-07-31_1629,저티어,탱커,개시자,D.VA,45.7,7.5,-1.042,C
2026-07-31_1629,저티어,탱커,투사,로드호그,45.7,6.0,-1.178,D
2026-07-31_1629,저티어,딜러,전문가,메이,52.6,8.7,1.62,S
2026-07-31_1629,저티어,딜러,측면 공격가,겐지,52.6,8.4,1.6,A
2026-07-31_1629,저티어,딜러,측면 공격가,리퍼,51.6,10.3,1.327,B
2026-07-31_1629,저티어,딜러,측면 공격가,벤데타,51.9,3.6,1.0,C
2026-07-31_1629,저티어,딜러,전문가,바스티온,47.5,14.0,-0.067,D
2026-07-31_1629,저티어,힐러,의무관,모이라,50.9,31.1,1.948,S
2026-07-31_1629,저티어,힐러,생존왕,미즈키,52.6,16.0,1.857,A
2026-07-31_1629,저티어,힐러,전술가,루시우,47.2,5.5,-0.839,B
2026-07-31_1629,저티어,힐러,의무관,라이프위버,46.5,5.7,-1.109,B
2026-07-31_1629,저티어,힐러,전술가,바티스트,45.1,4.3,-1.74,C
2026-07-31_1629,저티어,힐러,의무관,메르시,44.5,7.9,-1.797,D
2026-07-31_1629,중티어,탱커,개시자,둠피스트,51.0,8.4,1.203,S
2026-07-31_1629,중티어,탱커,강건한 자,도미나,51.7,3.1,0.976,A
2026-07-31_1629,중티어,탱커,강건한 자,라인하르트,49.9,9.2,0.84,A
2026-07-31_1629,중티어,탱커,강건한 자,라마트라,48.6,6.0,0.014,B
2026-07-31_1629,중티어,탱커,투사,마우가,47.6,7.1,-0.281,B
2026-07-31_1629,중티어,탱커,개시자,레킹볼,48.1,4.0,-0.378,C
2026-07-31_1629,중티어,탱커,개시자,D.VA,46.9,5.5,-0.714,C
2026-07-31_1629,중티어,탱커,투사,로드호그,42.9,6.9,-2.18,D
2026-07-31_1629,중티어,딜러,측면 공격가,겐지,52.4,15.5,2.029,S
2026-07-31_1629,중티어,딜러,전문가,메이,50.6,8.6,0.833,A
2026-07-31_1629,중티어,딜러,측면 공격가,벤데타,51.2,3.5,0.721,B
2026-07-31_1629,중티어,딜러,측면 공격가,리퍼,49.7,10.2,0.583,C
2026-07-31_1629,중티어,딜러,전문가,바스티온,47.6,5.7,-0.567,D
2026-07-31_1629,중티어,힐러,생존왕,미즈키,51.5,11.1,1.456,S
2026-07-31_1629,중티어,힐러,의무관,모이라,49.8,17.5,1.269,A
2026-07-31_1629,중티어,힐러,전술가,루시우,47.9,3.1,-0.601,B
2026-07-31_1629,중티어,힐러,의무관,메르시,47.0,4.9,-0.822,B
2026-07-31_1629,중티어,힐러,전술가,바티스트,45.3,4.6,-1.525,C
2026-07-31_1629,중티어,힐러,의무관,라이프위버,44.7,5.5,-1.696,D
2026-07-31_1629,고티어,탱커,강건한 자,도미나,51.5,2.4,0.847,S
2026-07-31_1629,고티어,탱커,개시자,둠피스트,48.7,11.8,0.695,A
2026-07-31_1629,고티어,탱커,강건한 자,라마트라,48.7,5.3,0.026,A
2026-07-31_1629,고티어,탱커,개시자,레킹볼,47.6,4.4,-0.507,B
2026-07-31_1629,고티어,탱커,강건한 자,라인하르트,46.2,5.9,-0.912,B
2026-07-31_1629,고티어,탱커,개시자,D.VA,46.3,4.9,-0.975,C
2026-07-31_1629,고티어,탱커,투사,마우가,45.6,6.8,-1.06,C
2026-07-31_1629,고티어,탱커,투사,로드호그,43.9,5.1,-1.915,D
2026-07-31_1629,고티어,딜러,측면 공격가,겐지,50.7,15.1,1.46,S
2026-07-31_1629,고티어,딜러,측면 공격가,리퍼,50.5,10.5,1.02,A
2026-07-31_1629,고티어,딜러,전문가,메이,49.4,6.1,0.237,B
2026-07-31_1629,고티어,딜러,측면 공격가,벤데타,49.0,3.5,-0.127,C
2026-07-31_1629,고티어,딜러,전문가,바스티온,48.2,3.2,-0.47,D
2026-07-31_1629,고티어,힐러,생존왕,미즈키,52.2,11.8,1.978,S
2026-07-31_1629,고티어,힐러,의무관,모이라,48.1,11.4,0.3,A
2026-07-31_1629,고티어,힐러,전술가,루시우,48.1,4.3,-0.36,B
2026-07-31_1629,고티어,힐러,전술가,바티스트,46.2,4.2,-1.129,B
2026-07-31_1629,고티어,힐러,의무관,메르시,45.3,3.5,-1.554,C
2026-07-31_1629,고티어,힐러,의무관,라이프위버,40.3,3.5,-3.554,D
