날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-07-11_1543,저티어,탱커,강건한 자,라인하르트,51.9,9.4,1.621,S
2026-07-11_1543,저티어,탱커,개시자,둠피스트,52.5,3.2,1.293,A
2026-07-11_1543,저티어,탱커,강건한 자,도미나,50.4,6.3,0.737,A
2026-07-11_1543,저티어,탱커,강건한 자,라마트라,49.0,9.6,0.479,B
2026-07-11_1543,저티어,탱커,투사,마우가,48.1,8.4,0.009,B
2026-07-11_1543,저티어,탱커,개시자,레킹볼,49.1,2.1,-0.168,C
2026-07-11_1543,저티어,탱커,개시자,D.VA,46.1,7.9,-0.836,C
2026-07-11_1543,저티어,탱커,투사,로드호그,45.7,5.5,-1.216,D
2026-07-11_1543,저티어,딜러,전문가,메이,53.2,8.6,1.9,S
2026-07-11_1543,저티어,딜러,측면 공격가,겐지,52.4,7.4,1.494,A
2026-07-11_1543,저티어,딜러,측면 공격가,리퍼,50.0,9.5,0.685,B
2026-07-11_1543,저티어,딜러,측면 공격가,벤데타,50.4,2.5,0.34,C
2026-07-11_1543,저티어,딜러,전문가,바스티온,47.9,13.6,0.141,D
2026-07-11_1543,저티어,힐러,생존왕,미즈키,53.7,18.7,2.397,S
2026-07-11_1543,저티어,힐러,의무관,모이라,51.4,31.2,2.09,A
2026-07-11_1543,저티어,힐러,전술가,루시우,45.7,5.0,-1.475,B
2026-07-11_1543,저티어,힐러,의무관,라이프위버,45.5,5.5,-1.53,B
2026-07-11_1543,저티어,힐러,전술가,바티스트,45.6,4.5,-1.539,C
2026-07-11_1543,저티어,힐러,의무관,메르시,44.5,8.5,-1.783,D
2026-07-11_1543,중티어,탱커,개시자,둠피스트,51.8,8.4,1.526,S
2026-07-11_1543,중티어,탱커,강건한 자,라인하르트,50.7,9.6,1.202,A
2026-07-11_1543,중티어,탱커,강건한 자,도미나,51.8,3.5,1.056,A
2026-07-11_1543,중티어,탱커,투사,마우가,47.1,6.9,-0.498,B
2026-07-11_1543,중티어,탱커,개시자,레킹볼,47.6,4.2,-0.557,B
2026-07-11_1543,중티어,탱커,개시자,D.VA,47.1,5.7,-0.613,C
2026-07-11_1543,중티어,탱커,강건한 자,라마트라,46.5,4.9,-0.93,C
2026-07-11_1543,중티어,탱커,투사,로드호그,43.1,6.8,-2.107,D
2026-07-11_1543,중티어,딜러,측면 공격가,겐지,52.2,13.9,1.938,S
2026-07-11_1543,중티어,딜러,전문가,메이,51.1,8.3,1.072,A
2026-07-11_1543,중티어,딜러,측면 공격가,리퍼,48.0,9.5,-0.077,B
2026-07-11_1543,중티어,딜러,측면 공격가,벤데타,49.2,2.2,-0.152,C
2026-07-11_1543,중티어,딜러,전문가,바스티온,47.5,5.5,-0.581,D
2026-07-11_1543,중티어,힐러,생존왕,미즈키,52.6,12.9,1.935,S
2026-07-11_1543,중티어,힐러,의무관,모이라,50.8,20.5,1.742,A
2026-07-11_1543,중티어,힐러,의무관,메르시,46.3,5.0,-1.133,B
2026-07-11_1543,중티어,힐러,전술가,루시우,46.2,2.7,-1.333,B
2026-07-11_1543,중티어,힐러,전술가,바티스트,45.2,4.9,-1.58,C
2026-07-11_1543,중티어,힐러,의무관,라이프위버,44.5,5.9,-1.791,D
2026-07-11_1543,고티어,탱커,강건한 자,도미나,52.6,2.8,1.336,S
2026-07-11_1543,고티어,탱커,개시자,둠피스트,49.0,11.5,0.816,A
2026-07-11_1543,고티어,탱커,개시자,레킹볼,47.5,4.9,-0.482,A
2026-07-11_1543,고티어,탱커,강건한 자,라인하르트,46.5,6.8,-0.681,B
2026-07-11_1543,고티어,탱커,개시자,D.VA,46.3,4.6,-0.994,B
2026-07-11_1543,고티어,탱커,투사,마우가,45.5,6.4,-1.123,C
2026-07-11_1543,고티어,탱커,강건한 자,라마트라,45.7,3.7,-1.329,C
2026-07-11_1543,고티어,탱커,투사,로드호그,43.0,4.7,-2.303,D
2026-07-11_1543,고티어,딜러,측면 공격가,겐지,51.1,13.5,1.617,S
2026-07-11_1543,고티어,딜러,전문가,메이,49.1,6.3,0.189,A
2026-07-11_1543,고티어,딜러,측면 공격가,리퍼,48.4,9.5,0.188,B
2026-07-11_1543,고티어,딜러,전문가,바스티온,49.4,3.3,0.048,C
2026-07-11_1543,고티어,딜러,측면 공격가,벤데타,47.6,1.8,-0.803,D
2026-07-11_1543,고티어,힐러,생존왕,미즈키,53.4,13.0,2.426,S
2026-07-11_1543,고티어,힐러,의무관,모이라,49.6,15.3,1.095,A
2026-07-11_1543,고티어,힐러,전술가,바티스트,45.8,4.9,-1.278,B
2026-07-11_1543,고티어,힐러,전술가,루시우,45.8,3.3,-1.409,B
2026-07-11_1543,고티어,힐러,의무관,메르시,45.0,3.8,-1.688,C
2026-07-11_1543,고티어,힐러,의무관,라이프위버,40.3,3.6,-3.585,D
