날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-09-25_1859,저티어,탱커,강건한 자,라인하르트,53.4,8.1,2.207,S
2026-09-25_1859,저티어,탱커,개시자,둠피스트,52.6,4.0,1.458,A
2026-09-25_1859,저티어,탱커,강건한 자,도미나,51.6,5.3,1.194,A
2026-09-25_1859,저티어,탱커,강건한 자,라마트라,49.1,11.0,0.79,B
2026-09-25_1859,저티어,탱커,개시자,레킹볼,50.8,2.2,0.55,B
2026-09-25_1859,저티어,탱커,개시자,D.VA,46.1,6.7,-0.859,C
2026-09-25_1859,저티어,탱커,투사,로드호그,45.1,4.0,-1.542,C
2026-09-25_1859,저티어,탱커,투사,마우가,42.3,4.6,-2.599,D
2026-09-25_1859,저티어,딜러,측면 공격가,리퍼,51.6,11.1,1.311,S
2026-09-25_1859,저티어,딜러,측면 공격가,겐지,51.4,6.3,0.941,A
2026-09-25_1859,저티어,딜러,전문가,메이,51.1,7.7,0.905,B
2026-09-25_1859,저티어,딜러,전문가,바스티온,49.2,14.6,0.563,C
2026-09-25_1859,저티어,힐러,의무관,모이라,52.0,34.6,2.559,S
2026-09-25_1859,저티어,힐러,생존왕,미즈키,51.8,15.9,1.528,A
2026-09-25_1859,저티어,힐러,전술가,바티스트,47.7,7.1,-0.559,B
2026-09-25_1859,저티어,힐러,의무관,라이프위버,47.4,5.4,-0.765,B
2026-09-25_1859,저티어,힐러,전술가,루시우,46.5,3.8,-1.207,C
2026-09-25_1859,저티어,힐러,의무관,메르시,46.2,4.0,-1.317,D
2026-09-25_1859,중티어,탱커,강건한 자,라인하르트,51.6,9.3,1.657,S
2026-09-25_1859,중티어,탱커,개시자,둠피스트,49.9,7.8,0.813,A
2026-09-25_1859,중티어,탱커,강건한 자,도미나,51.1,2.7,0.735,A
2026-09-25_1859,중티어,탱커,개시자,레킹볼,49.9,3.5,0.343,B
2026-09-25_1859,중티어,탱커,강건한 자,라마트라,48.3,6.7,0.053,B
2026-09-25_1859,중티어,탱커,개시자,D.VA,46.1,5.2,-0.991,C
2026-09-25_1859,중티어,탱커,투사,마우가,42.4,3.9,-2.614,C
2026-09-25_1859,중티어,탱커,투사,로드호그,41.6,4.8,-2.835,D
2026-09-25_1859,중티어,딜러,측면 공격가,겐지,51.2,10.2,1.108,S
2026-09-25_1859,중티어,딜러,측면 공격가,리퍼,50.1,13.1,0.846,A
2026-09-25_1859,중티어,딜러,전문가,메이,50.3,7.2,0.563,B
2026-09-25_1859,중티어,딜러,전문가,바스티온,47.5,8.5,-0.477,C
2026-09-25_1859,중티어,힐러,의무관,모이라,52.1,26.7,2.445,S
2026-09-25_1859,중티어,힐러,생존왕,미즈키,49.9,11.9,0.675,A
2026-09-25_1859,중티어,힐러,전술가,루시우,48.1,3.3,-0.562,B
2026-09-25_1859,중티어,힐러,의무관,라이프위버,47.6,6.5,-0.569,B
2026-09-25_1859,중티어,힐러,전술가,바티스트,47.2,8.4,-0.615,C
2026-09-25_1859,중티어,힐러,의무관,메르시,46.5,3.1,-1.214,D
2026-09-25_1859,고티어,탱커,개시자,둠피스트,51.5,10.4,1.857,S
2026-09-25_1859,고티어,탱커,강건한 자,도미나,51.4,1.7,0.766,A
2026-09-25_1859,고티어,탱커,강건한 자,라마트라,49.1,3.6,0.075,A
2026-09-25_1859,고티어,탱커,투사,로드호그,47.9,4.8,-0.26,B
2026-09-25_1859,고티어,탱커,개시자,레킹볼,47.2,6.1,-0.382,B
2026-09-25_1859,고티어,탱커,개시자,D.VA,46.2,4.9,-0.928,C
2026-09-25_1859,고티어,탱커,강건한 자,라인하르트,45.7,4.6,-1.164,C
2026-09-25_1859,고티어,탱커,투사,마우가,41.5,3.6,-2.965,D
2026-09-25_1859,고티어,딜러,측면 공격가,겐지,50.5,12.4,1.107,S
2026-09-25_1859,고티어,딜러,측면 공격가,리퍼,49.7,10.7,0.663,A
2026-09-25_1859,고티어,딜러,전문가,메이,50.4,4.2,0.467,B
2026-09-25_1859,고티어,딜러,전문가,바스티온,47.3,5.5,-0.678,C
2026-09-25_1859,고티어,힐러,의무관,모이라,50.7,17.4,1.618,S
2026-09-25_1859,고티어,힐러,전술가,루시우,49.3,6.1,0.189,A
2026-09-25_1859,고티어,힐러,전술가,바티스트,47.8,7.5,-0.303,B
2026-09-25_1859,고티어,힐러,생존왕,미즈키,46.0,10.2,-0.815,B
2026-09-25_1859,고티어,힐러,의무관,라이프위버,45.8,3.9,-1.38,C
2026-09-25_1859,고티어,힐러,의무관,메르시,44.5,1.7,-2.069,D
