날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-03-24_0447,저티어,탱커,강건한 자,도미나,52.5,8.6,1.773,S
2026-03-24_0447,저티어,탱커,강건한 자,라인하르트,50.6,7.8,0.941,A
2026-03-24_0447,저티어,탱커,개시자,둠피스트,51.5,3.4,0.906,A
2026-03-24_0447,저티어,탱커,강건한 자,라마트라,48.5,9.5,0.254,B
2026-03-24_0447,저티어,탱커,개시자,레킹볼,49.8,2.5,0.145,B
2026-03-24_0447,저티어,탱커,개시자,D.VA,47.5,10.5,-0.056,C
2026-03-24_0447,저티어,탱커,투사,로드호그,48.1,6.0,-0.221,C
2026-03-24_0447,저티어,탱커,투사,마우가,47.8,5.1,-0.422,D
2026-03-24_0447,저티어,딜러,측면 공격가,리퍼,52.7,13.8,1.934,S
2026-03-24_0447,저티어,딜러,측면 공격가,벤데타,54.2,3.0,1.866,A
2026-03-24_0447,저티어,딜러,측면 공격가,겐지,51.5,7.9,1.089,B
2026-03-24_0447,저티어,딜러,전문가,메이,51.3,7.0,0.953,C
2026-03-24_0447,저티어,딜러,전문가,바스티온,48.3,16.8,0.359,D
2026-03-24_0447,저티어,힐러,생존왕,미즈키,53.4,18.2,2.271,S
2026-03-24_0447,저티어,힐러,의무관,모이라,49.2,26.4,1.002,A
2026-03-24_0447,저티어,힐러,전술가,루시우,47.8,7.3,-0.514,B
2026-03-24_0447,저티어,힐러,의무관,메르시,45.6,10.3,-1.244,B
2026-03-24_0447,저티어,힐러,전술가,바티스트,44.9,6.1,-1.735,C
2026-03-24_0447,저티어,힐러,의무관,라이프위버,44.4,3.6,-2.06,D
2026-03-24_0447,중티어,탱커,강건한 자,도미나,53.2,7.3,1.984,S
2026-03-24_0447,중티어,탱커,개시자,둠피스트,50.9,7.1,1.044,A
2026-03-24_0447,중티어,탱커,개시자,D.VA,48.7,8.4,0.29,A
2026-03-24_0447,중티어,탱커,강건한 자,라인하르트,48.4,7.3,0.064,B
2026-03-24_0447,중티어,탱커,개시자,레킹볼,48.9,3.7,-0.083,B
2026-03-24_0447,중티어,탱커,투사,로드호그,46.7,7.9,-0.559,C
2026-03-24_0447,중티어,탱커,투사,마우가,47.1,3.5,-0.823,C
2026-03-24_0447,중티어,탱커,강건한 자,라마트라,46.0,4.6,-1.157,D
2026-03-24_0447,중티어,딜러,측면 공격가,겐지,51.5,15.5,1.674,S
2026-03-24_0447,중티어,딜러,측면 공격가,벤데타,52.1,3.4,1.076,A
2026-03-24_0447,중티어,딜러,측면 공격가,리퍼,50.5,11.4,0.99,B
2026-03-24_0447,중티어,딜러,전문가,메이,50.0,7.0,0.485,C
2026-03-24_0447,중티어,딜러,전문가,바스티온,46.6,6.0,-0.944,D
2026-03-24_0447,중티어,힐러,생존왕,미즈키,51.6,15.5,1.703,S
2026-03-24_0447,중티어,힐러,의무관,메르시,49.1,7.0,0.12,A
2026-03-24_0447,중티어,힐러,의무관,모이라,47.6,14.2,0.014,B
2026-03-24_0447,중티어,힐러,전술가,루시우,48.7,4.5,-0.211,B
2026-03-24_0447,중티어,힐러,전술가,바티스트,45.0,7.5,-1.486,C
2026-03-24_0447,중티어,힐러,의무관,라이프위버,43.1,3.8,-2.499,D
2026-03-24_0447,고티어,탱커,강건한 자,도미나,52.7,6.7,1.778,S
2026-03-24_0447,고티어,탱커,개시자,D.VA,49.5,6.8,0.508,A
2026-03-24_0447,고티어,탱커,개시자,둠피스트,48.3,10.4,0.403,A
2026-03-24_0447,고티어,탱커,개시자,레킹볼,48.1,5.1,-0.229,B
2026-03-24_0447,고티어,탱커,투사,마우가,47.9,2.8,-0.548,B
2026-03-24_0447,고티어,탱커,강건한 자,라마트라,46.9,2.6,-0.969,C
2026-03-24_0447,고티어,탱커,투사,로드호그,45.3,7.0,-1.151,C
2026-03-24_0447,고티어,탱커,강건한 자,라인하르트,42.8,4.7,-2.391,D
2026-03-24_0447,고티어,딜러,측면 공격가,겐지,49.6,15.7,1.238,S
2026-03-24_0447,고티어,딜러,측면 공격가,리퍼,50.2,8.1,0.801,A
2026-03-24_0447,고티어,딜러,측면 공격가,벤데타,51.1,3.4,0.743,B
2026-03-24_0447,고티어,딜러,전문가,메이,48.1,4.0,-0.404,C
2026-03-24_0447,고티어,딜러,전문가,바스티온,46.3,2.5,-1.257,D
2026-03-24_0447,고티어,힐러,생존왕,미즈키,50.8,13.5,1.485,S
2026-03-24_0447,고티어,힐러,의무관,메르시,48.1,4.9,-0.337,A
2026-03-24_0447,고티어,힐러,의무관,모이라,47.3,6.6,-0.51,B
2026-03-24_0447,고티어,힐러,전술가,루시우,47.1,5.2,-0.711,B
2026-03-24_0447,고티어,힐러,전술가,바티스트,45.6,8.8,-1.0,C
2026-03-24_0447,고티어,힐러,의무관,라이프위버,38.2,2.7,-4.487,D
