날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-06-15_1859,저티어,탱커,강건한 자,도미나,51.3,6.4,1.097,S
2026-06-15_1859,저티어,탱커,개시자,둠피스트,51.9,3.4,1.067,A
2026-06-15_1859,저티어,탱커,강건한 자,라인하르트,50.6,8.1,0.971,A
2026-06-15_1859,저티어,탱커,강건한 자,라마트라,50.2,9.4,0.928,B
2026-06-15_1859,저티어,탱커,투사,마우가,48.3,10.2,0.24,B
2026-06-15_1859,저티어,탱커,개시자,레킹볼,49.5,2.2,-0.002,C
2026-06-15_1859,저티어,탱커,개시자,D.VA,47.2,8.6,-0.344,C
2026-06-15_1859,저티어,탱커,투사,로드호그,44.0,4.9,-1.958,D
2026-06-15_1859,저티어,딜러,측면 공격가,리퍼,53.5,15.1,2.378,S
2026-06-15_1859,저티어,딜러,측면 공격가,겐지,51.8,8.5,1.271,A
2026-06-15_1859,저티어,딜러,전문가,메이,51.5,6.2,1.002,B
2026-06-15_1859,저티어,딜러,전문가,바스티온,47.8,14.0,0.027,C
2026-06-15_1859,저티어,딜러,측면 공격가,벤데타,48.6,2.5,-0.398,D
2026-06-15_1859,저티어,힐러,생존왕,미즈키,51.7,12.5,1.394,S
2026-06-15_1859,저티어,힐러,의무관,모이라,49.2,22.8,0.983,A
2026-06-15_1859,저티어,힐러,의무관,라이프위버,48.2,6.0,-0.377,B
2026-06-15_1859,저티어,힐러,전술가,루시우,47.4,6.9,-0.646,B
2026-06-15_1859,저티어,힐러,전술가,바티스트,45.7,5.5,-1.406,C
2026-06-15_1859,저티어,힐러,의무관,메르시,45.1,9.3,-1.429,D
2026-06-15_1859,중티어,탱커,개시자,둠피스트,52.1,8.0,1.613,S
2026-06-15_1859,중티어,탱커,강건한 자,도미나,52.8,3.7,1.477,A
2026-06-15_1859,중티어,탱커,개시자,D.VA,49.1,6.5,0.268,A
2026-06-15_1859,중티어,탱커,강건한 자,라인하르트,48.2,7.2,-0.025,B
2026-06-15_1859,중티어,탱커,투사,마우가,47.0,9.2,-0.311,B
2026-06-15_1859,중티어,탱커,개시자,레킹볼,47.8,3.8,-0.513,C
2026-06-15_1859,중티어,탱커,강건한 자,라마트라,47.4,4.8,-0.576,C
2026-06-15_1859,중티어,탱커,투사,로드호그,42.9,6.5,-2.212,D
2026-06-15_1859,중티어,딜러,측면 공격가,리퍼,52.8,15.2,2.124,S
2026-06-15_1859,중티어,딜러,측면 공격가,겐지,51.9,15.9,1.811,A
2026-06-15_1859,중티어,딜러,전문가,메이,49.1,6.4,0.063,B
2026-06-15_1859,중티어,딜러,전문가,바스티온,47.6,6.2,-0.55,C
2026-06-15_1859,중티어,딜러,측면 공격가,벤데타,47.3,1.7,-0.968,D
2026-06-15_1859,중티어,힐러,생존왕,미즈키,49.5,8.8,0.562,S
2026-06-15_1859,중티어,힐러,의무관,메르시,48.0,5.9,-0.289,A
2026-06-15_1859,중티어,힐러,의무관,모이라,46.7,10.0,-0.455,B
2026-06-15_1859,중티어,힐러,의무관,라이프위버,47.0,6.7,-0.62,B
2026-06-15_1859,중티어,힐러,전술가,루시우,47.2,3.9,-0.782,C
2026-06-15_1859,중티어,힐러,전술가,바티스트,46.2,6.3,-0.975,D
2026-06-15_1859,고티어,탱커,강건한 자,도미나,52.6,2.5,1.312,S
2026-06-15_1859,고티어,탱커,개시자,둠피스트,49.7,12.0,1.186,A
2026-06-15_1859,고티어,탱커,개시자,D.VA,49.2,4.9,0.213,A
2026-06-15_1859,고티어,탱커,개시자,레킹볼,47.3,4.7,-0.568,B
2026-06-15_1859,고티어,탱커,강건한 자,라마트라,46.9,3.2,-0.892,B
2026-06-15_1859,고티어,탱커,투사,마우가,44.7,7.4,-1.315,C
2026-06-15_1859,고티어,탱커,강건한 자,라인하르트,43.7,4.6,-2.019,C
2026-06-15_1859,고티어,탱커,투사,로드호그,42.0,4.8,-2.678,D
2026-06-15_1859,고티어,딜러,측면 공격가,리퍼,53.4,15.3,2.513,S
2026-06-15_1859,고티어,딜러,측면 공격가,겐지,49.9,14.6,1.061,A
2026-06-15_1859,고티어,딜러,전문가,바스티온,49.2,4.0,-0.018,B
2026-06-15_1859,고티어,딜러,전문가,메이,48.7,4.8,-0.158,C
2026-06-15_1859,고티어,딜러,측면 공격가,벤데타,46.2,1.1,-1.437,D
2026-06-15_1859,고티어,힐러,생존왕,미즈키,49.3,8.9,0.682,S
2026-06-15_1859,고티어,힐러,의무관,메르시,48.1,4.5,-0.274,A
2026-06-15_1859,고티어,힐러,전술가,바티스트,46.3,6.3,-0.799,B
2026-06-15_1859,고티어,힐러,전술가,루시우,46.6,4.6,-0.863,B
2026-06-15_1859,고티어,힐러,의무관,모이라,45.1,4.4,-1.484,C
2026-06-15_1859,고티어,힐러,의무관,라이프위버,43.3,4.6,-2.183,D
