날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-06-19_1710,저티어,탱커,강건한 자,라인하르트,54.2,10.8,2.551,S
2026-06-19_1710,저티어,탱커,강건한 자,도미나,52.1,7.2,1.421,A
2026-06-19_1710,저티어,탱커,개시자,둠피스트,50.9,9.8,1.151,A
2026-06-19_1710,저티어,탱커,투사,마우가,49.1,7.9,0.277,B
2026-06-19_1710,저티어,탱커,강건한 자,라마트라,49.0,7.3,0.189,B
2026-06-19_1710,저티어,탱커,개시자,레킹볼,49.6,3.7,0.138,C
2026-06-19_1710,저티어,탱커,투사,로드호그,45.7,6.4,-1.204,C
2026-06-19_1710,저티어,탱커,개시자,D.VA,44.2,6.4,-1.804,D
2026-06-19_1710,저티어,딜러,전문가,메이,55.3,5.4,2.758,S
2026-06-19_1710,저티어,딜러,측면 공격가,겐지,51.4,7.8,1.481,A
2026-06-19_1710,저티어,딜러,측면 공격가,벤데타,51.6,2.7,0.959,B
2026-06-19_1710,저티어,딜러,측면 공격가,리퍼,49.5,4.6,0.343,C
2026-06-19_1710,저티어,딜러,전문가,바스티온,48.2,4.9,-0.141,D
2026-06-19_1710,저티어,힐러,의무관,모이라,54.1,20.3,2.749,S
2026-06-19_1710,저티어,힐러,생존왕,미즈키,54.0,20.6,2.725,A
2026-06-19_1710,저티어,힐러,전술가,루시우,50.0,4.6,0.251,B
2026-06-19_1710,저티어,힐러,의무관,라이프위버,48.5,8.3,-0.147,B
2026-06-19_1710,저티어,힐러,전술가,바티스트,46.5,4.7,-1.143,C
2026-06-19_1710,저티어,힐러,의무관,메르시,45.6,7.4,-1.356,D
2026-06-19_1710,중티어,탱커,강건한 자,라인하르트,54.2,10.8,2.551,S
2026-06-19_1710,중티어,탱커,강건한 자,도미나,52.1,7.2,1.421,A
2026-06-19_1710,중티어,탱커,개시자,둠피스트,50.9,9.8,1.151,A
2026-06-19_1710,중티어,탱커,투사,마우가,49.1,7.9,0.277,B
2026-06-19_1710,중티어,탱커,강건한 자,라마트라,49.0,7.3,0.189,B
2026-06-19_1710,중티어,탱커,개시자,레킹볼,49.6,3.7,0.138,C
2026-06-19_1710,중티어,탱커,투사,로드호그,45.7,6.4,-1.204,C
2026-06-19_1710,중티어,탱커,개시자,D.VA,44.2,6.4,-1.804,D
2026-06-19_1710,중티어,딜러,전문가,메이,55.3,5.4,2.758,S
2026-06-19_1710,중티어,딜러,측면 공격가,겐지,51.4,7.8,1.481,A
2026-06-19_1710,중티어,딜러,측면 공격가,벤데타,51.6,2.7,0.959,B
2026-06-19_1710,중티어,딜러,측면 공격가,리퍼,49.5,4.6,0.343,C
2026-06-19_1710,중티어,딜러,전문가,바스티온,48.2,4.9,-0.141,D
2026-06-19_1710,중티어,힐러,의무관,모이라,54.1,20.3,2.749,S
2026-06-19_1710,중티어,힐러,생존왕,미즈키,54.0,20.6,2.725,A
2026-06-19_1710,중티어,힐러,전술가,루시우,50.0,4.6,0.251,B
2026-06-19_1710,중티어,힐러,의무관,라이프위버,48.5,8.3,-0.147,B
2026-06-19_1710,중티어,힐러,전술가,바티스트,46.5,4.7,-1.143,C
2026-06-19_1710,중티어,힐러,의무관,메르시,45.6,7.4,-1.356,D
2026-06-19_1710,고티어,탱커,강건한 자,라인하르트,54.2,10.8,2.551,S
2026-06-19_1710,고티어,탱커,강건한 자,도미나,52.1,7.2,1.421,A
2026-06-19_1710,고티어,탱커,개시자,둠피스트,50.9,9.8,1.151,A
2026-06-19_1710,고티어,탱커,투사,마우가,49.1,7.9,0.277,B
2026-06-19_1710,고티어,탱커,강건한 자,라마트라,49.0,7.3,0.189,B
2026-06-19_1710,고티어,탱커,개시자,레킹볼,49.6,3.7,0.138,C
2026-06-19_1710,고티어,탱커,투사,로드호그,45.7,6.4,-1.204,C
2026-06-19_1710,고티어,탱커,개시자,D.VA,44.2,6.4,-1.804,D
2026-06-19_1710,고티어,딜러,전문가,메이,55.3,5.4,2.758,S
2026-06-19_1710,고티어,딜러,측면 공격가,겐지,51.4,7.8,1.481,A
2026-06-19_1710,고티어,딜러,측면 공격가,벤데타,51.6,2.7,0.959,B
2026-06-19_1710,고티어,딜러,측면 공격가,리퍼,49.5,4.6,0.343,C
2026-06-19_1710,고티어,딜러,전문가,바스티온,48.2,4.9,-0.141,D
2026-06-19_1710,고티어,힐러,의무관,모이라,54.1,20.3,2.749,S
2026-06-19_1710,고티어,힐러,생존왕,미즈키,54.0,20.6,2.725,A
2026-06-19_1710,고티어,힐러,전술가,루시우,50.0,4.6,0.251,B
2026-06-19_1710,고티어,힐러,의무관,라이프위버,48.5,8.3,-0.147,B
2026-06-19_1710,고티어,힐러,전술가,바티스트,46.5,4.7,-1.143,C
2026-06-19_1710,고티어,힐러,의무관,메르시,45.6,7.4,-1.356,D
