날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-07-28_1627,저티어,탱커,강건한 자,라인하르트,53.2,9.3,2.077,S
2026-07-28_1627,저티어,탱커,강건한 자,도미나,52.0,5.1,1.237,A
2026-07-28_1627,저티어,탱커,강건한 자,라마트라,50.8,7.7,0.98,A
2026-07-28_1627,저티어,탱커,개시자,둠피스트,50.1,8.9,0.803,B
2026-07-28_1627,저티어,탱커,투사,마우가,50.0,8.1,0.694,B
2026-07-28_1627,저티어,탱커,개시자,레킹볼,49.6,3.4,0.131,C
2026-07-28_1627,저티어,탱커,투사,로드호그,45.8,7.0,-1.08,C
2026-07-28_1627,저티어,탱커,개시자,D.VA,45.0,6.5,-1.443,D
2026-07-28_1627,저티어,딜러,전문가,메이,54.5,7.2,2.343,S
2026-07-28_1627,저티어,딜러,측면 공격가,겐지,51.6,11.1,1.477,A
2026-07-28_1627,저티어,딜러,측면 공격가,리퍼,52.0,8.1,1.411,B
2026-07-28_1627,저티어,딜러,측면 공격가,벤데타,52.3,4.8,1.282,C
2026-07-28_1627,저티어,딜러,전문가,바스티온,48.4,8.6,0.008,D
2026-07-28_1627,저티어,힐러,생존왕,미즈키,53.0,16.1,2.153,S
2026-07-28_1627,저티어,힐러,의무관,모이라,51.8,18.6,1.821,A
2026-07-28_1627,저티어,힐러,전술가,루시우,51.0,5.3,0.714,B
2026-07-28_1627,저티어,힐러,의무관,라이프위버,48.6,8.4,-0.063,B
2026-07-28_1627,저티어,힐러,전술가,바티스트,47.1,4.7,-0.882,C
2026-07-28_1627,저티어,힐러,의무관,메르시,46.1,7.7,-1.104,D
2026-07-28_1627,중티어,탱커,강건한 자,라인하르트,53.2,9.3,2.077,S
2026-07-28_1627,중티어,탱커,강건한 자,도미나,52.0,5.1,1.237,A
2026-07-28_1627,중티어,탱커,강건한 자,라마트라,50.8,7.7,0.98,A
2026-07-28_1627,중티어,탱커,개시자,둠피스트,50.1,8.9,0.803,B
2026-07-28_1627,중티어,탱커,투사,마우가,50.0,8.1,0.694,B
2026-07-28_1627,중티어,탱커,개시자,레킹볼,49.6,3.4,0.131,C
2026-07-28_1627,중티어,탱커,투사,로드호그,45.8,7.0,-1.08,C
2026-07-28_1627,중티어,탱커,개시자,D.VA,45.0,6.5,-1.443,D
2026-07-28_1627,중티어,딜러,전문가,메이,54.5,7.2,2.343,S
2026-07-28_1627,중티어,딜러,측면 공격가,겐지,51.6,11.1,1.477,A
2026-07-28_1627,중티어,딜러,측면 공격가,리퍼,52.0,8.1,1.411,B
2026-07-28_1627,중티어,딜러,측면 공격가,벤데타,52.3,4.8,1.282,C
2026-07-28_1627,중티어,딜러,전문가,바스티온,48.4,8.6,0.008,D
2026-07-28_1627,중티어,힐러,생존왕,미즈키,53.0,16.1,2.153,S
2026-07-28_1627,중티어,힐러,의무관,모이라,51.8,18.6,1.821,A
2026-07-28_1627,중티어,힐러,전술가,루시우,51.0,5.3,0.714,B
2026-07-28_1627,중티어,힐러,의무관,라이프위버,48.6,8.4,-0.063,B
2026-07-28_1627,중티어,힐러,전술가,바티스트,47.1,4.7,-0.882,C
2026-07-28_1627,중티어,힐러,의무관,메르시,46.1,7.7,-1.104,D
2026-07-28_1627,고티어,탱커,강건한 자,라인하르트,53.2,9.3,2.077,S
2026-07-28_1627,고티어,탱커,강건한 자,도미나,52.0,5.1,1.237,A
2026-07-28_1627,고티어,탱커,강건한 자,라마트라,50.8,7.7,0.98,A
2026-07-28_1627,고티어,탱커,개시자,둠피스트,50.1,8.9,0.803,B
2026-07-28_1627,고티어,탱커,투사,마우가,50.0,8.1,0.694,B
2026-07-28_1627,고티어,탱커,개시자,레킹볼,49.6,3.4,0.131,C
2026-07-28_1627,고티어,탱커,투사,로드호그,45.8,7.0,-1.08,C
2026-07-28_1627,고티어,탱커,개시자,D.VA,45.0,6.5,-1.443,D
2026-07-28_1627,고티어,딜러,전문가,메이,54.5,7.2,2.343,S
2026-07-28_1627,고티어,딜러,측면 공격가,겐지,51.6,11.1,1.477,A
2026-07-28_1627,고티어,딜러,측면 공격가,리퍼,52.0,8.1,1.411,B
2026-07-28_1627,고티어,딜러,측면 공격가,벤데타,52.3,4.8,1.282,C
2026-07-28_1627,고티어,딜러,전문가,바스티온,48.4,8.6,0.008,D
2026-07-28_1627,고티어,힐러,생존왕,미즈키,53.0,16.1,2.153,S
2026-07-28_1627,고티어,힐러,의무관,모이라,51.8,18.6,1.821,A
2026-07-28_1627,고티어,힐러,전술가,루시우,51.0,5.3,0.714,B
2026-07-28_1627,고티어,힐러,의무관,라이프위버,48.6,8.4,-0.063,B
2026-07-28_1627,고티어,힐러,전술가,바티스트,47.1,4.7,-0.882,C
2026-07-28_1627,고티어,힐러,의무관,메르시,46.1,7.7,-1.104,D
